Haemophilus,Haemophilus_influenzae,Gram-negative_bacteria,Facultative_anaerobic_organism,Epiglottitis,Cellulitis,Meningitis,Pathogenic_bacteria,Hib_vaccine,Osteomyelitis
164,842,1359,424,298,5560,5373,106,458,1270
152,882,1537,370,405,5663,5785,133,469,1400
116,786,1602,456,315,5442,5773,118,406,1419
124,772,1406,337,223,5325,5073,95,384,1285
127,692,1252,266,194,4739,5133,112,316,1082
93,483,912,197,169,3754,3826,192,206,739
82,504,939,244,183,3912,3938,161,175,787
135,714,1242,261,201,5242,4898,94,247,1156
158,794,1571,323,229,5794,5417,142,334,1221
118,843,1627,350,262,6095,5761,132,392,1438
165,818,1610,334,249,5724,5852,140,374,1393
123,779,1395,249,244,5371,5438,130,348,1487
78,470,932,209,173,4143,4300,85,172,1200
70,554,1032,239,193,4238,4295,90,221,996
111,815,1479,380,252,5869,5685,111,355,1412
121,833,1646,340,298,6229,6224,107,389,1484
136,774,1507,352,267,5390,5473,144,306,1343
140,755,1581,322,231,5367,5892,128,334,1314
102,625,1370,267,239,4872,5551,121,288,1177
80,464,965,178,178,4190,4180,120,182,822
96,551,1087,279,211,4621,4662,86,183,906
147,849,1536,375,282,6279,5906,153,366,1382
128,827,1669,436,231,5957,5885,128,376,1454
136,755,1731,379,254,5900,5842,147,362,1771
133,773,1551,335,242,5552,5389,145,351,2030
105,659,1308,249,277,5385,5436,102,315,1597
69,495,964,256,195,4221,4584,101,211,1197
71,424,1000,275,204,4280,4527,92,188,1013
145,778,1504,402,232,5990,6059,128,386,1487
141,837,1648,390,229,6424,6495,131,411,1647
131,897,1748,386,237,6095,6344,149,396,1630
156,775,1640,360,281,6036,6121,146,328,1557
115,682,1319,258,200,5559,5505,121,335,1285
72,502,977,186,181,4218,4320,97,215,952
90,500,1009,264,175,4543,4753,75,207,989
132,719,1282,324,231,5809,5761,111,369,1295
144,772,1543,370,203,6058,6899,101,371,1438
132,765,1539,324,235,6079,7396,146,395,1437
95,792,1504,340,273,6082,7196,121,344,1522
111,671,1315,284,174,5581,5656,115,340,1308
88,458,963,222,172,4437,4642,101,237,933
102,494,1081,259,224,4676,4834,107,236,936
112,744,1641,347,294,5842,6205,129,349,1295
136,740,1596,366,311,5937,6397,149,401,1545
143,766,1507,359,275,5731,5977,122,385,1436
135,770,1478,362,269,5441,5851,121,377,1490
94,688,1244,237,332,4822,5242,84,322,1302
91,413,880,198,231,4169,4426,78,192,949
94,469,937,221,225,4201,4641,70,198,959
117,699,1289,290,310,5462,6088,122,315,1379
124,790,1453,326,284,5681,6275,115,360,1524
142,724,1518,353,247,4951,8864,114,312,1357
129,697,1251,315,356,4740,7593,163,340,1274
128,681,1313,281,301,5027,5808,244,327,1436
70,445,945,235,173,3937,4765,227,186,912
87,437,1008,261,197,4103,4749,310,188,922
98,711,1482,346,227,5482,5938,499,338,1306
144,820,1533,354,259,5639,5965,556,345,1288
112,655,1364,306,237,5142,5430,516,322,1280
119,725,1544,305,253,4872,5442,481,366,1290
107,655,1416,255,259,4783,5277,420,332,1270
74,476,980,219,176,3864,4227,360,243,910
69,459,1079,241,186,3706,4366,375,215,913
114,638,1525,316,202,4295,5256,480,302,1155
121,701,1456,361,209,4936,5771,550,379,1281
132,717,1567,334,240,4846,5860,552,305,1259
135,757,1681,385,244,4630,5657,522,305,1282
0,0,0,0,0,0,0,0,0,0
67,446,920,253,167,3694,4117,405,212,905
76,480,1081,254,211,3513,3931,402,188,866
86,573,1330,276,226,3677,4358,489,263,1005
109,803,1715,353,284,4576,5228,622,330,1268
120,758,1800,393,245,4350,4845,650,344,1342
116,782,1930,446,243,4467,5269,671,356,1434
94,735,1601,317,208,4375,5276,544,355,1308
92,571,1235,267,240,3557,4453,501,259,911
73,653,1246,341,187,3417,5248,501,221,907
117,780,1955,409,247,4252,5656,696,338,1241
132,853,2090,528,233,4365,5950,818,357,1312
103,771,2121,588,223,4232,5403,727,381,1365
122,881,2050,563,267,4384,6031,667,408,1447
130,796,1737,387,231,3814,5433,552,336,1212
77,624,1218,295,207,3264,4373,480,245,1046
84,586,1343,407,229,3093,4175,542,217,870
120,931,2133,616,284,4027,5733,733,358,1312
118,874,2303,604,265,4186,5881,669,412,1403
131,838,2105,567,234,4038,5274,662,352,1352
120,900,2198,545,285,4064,5689,717,351,1394
106,858,1675,447,231,3901,5723,539,365,1281
84,655,1349,370,211,3440,4737,457,226,972
95,667,1534,485,209,3166,4835,483,223,974
176,862,2129,612,233,4082,7727,726,350,1358
149,926,2189,647,273,4067,5566,645,422,1323
150,867,2098,728,228,3788,6006,687,380,1315
158,941,2422,722,249,4285,6394,729,409,1544
149,869,2028,538,269,4131,6389,677,337,1372
97,743,1600,455,208,3349,5434,463,267,1059
124,771,1852,542,251,3665,5526,655,259,1128
177,998,2428,833,259,4730,6545,823,398,1566
155,1114,2679,819,355,4649,6870,874,444,1610
189,1171,2637,754,309,4569,7048,844,448,1537
170,1061,2361,726,288,4282,5926,726,430,1427
149,974,2057,579,235,4226,5841,717,353,1339
123,662,1443,395,181,3349,4759,453,226,1028
110,792,1796,543,236,3380,4793,594,211,1131
153,979,2373,736,272,4056,5881,802,345,1353
171,1137,2676,763,274,4459,6563,837,424,1577
179,1151,2446,840,291,4447,6554,791,398,1586
191,1050,2372,838,334,4387,6269,938,393,1558
190,1014,2117,645,291,4376,6200,759,382,1524
101,614,1345,415,214,3186,4584,391,233,983
116,744,1554,549,255,3062,4540,526,232,1060
178,1104,2185,844,322,4443,6810,808,387,1528
198,1254,2540,1004,334,4508,6893,932,452,1741
185,1161,2426,854,328,4298,6444,871,413,1727
0,0,0,852,338,4152,0,0,0,0
152,1004,1810,647,308,3910,5721,742,346,1389
106,624,1148,320,223,2713,3920,361,187,906
128,724,1481,498,239,2830,4439,482,244,1043
205,1034,2147,676,316,3983,6052,690,348,1411
217,1081,2194,686,307,4069,6168,741,403,1473
218,1203,2523,795,355,4413,7040,786,1197,1726
205,1241,2410,787,364,4567,6924,797,466,1760
155,990,1784,515,284,3775,5522,659,361,1460
89,631,1321,383,220,3093,4267,436,218,1035
128,776,1558,469,293,3103,4652,500,257,1121
199,1133,2303,772,335,4347,6529,846,400,1595
157,1178,2309,779,341,4332,6624,834,426,1725
205,1239,2584,727,305,4598,6991,900,493,1811
207,1195,2502,733,352,4282,6665,829,448,1773
185,1096,2011,629,259,3856,5633,673,363,1497
124,747,1256,435,227,3105,4467,442,244,1034
167,910,1526,527,251,3327,5258,510,286,1153
220,1322,2494,919,304,4427,6869,837,398,1637
224,1264,2579,845,325,4408,7140,888,453,1847
215,1366,2640,813,341,4539,8123,888,469,1856
207,1263,2530,750,348,4323,7265,781,451,1745
177,1021,2038,517,270,3649,5836,580,367,1429
129,767,1365,366,231,3081,4957,437,231,1166
135,978,1774,632,253,3599,6040,586,279,1337
216,1419,2609,869,360,4787,7486,836,473,1835
224,1443,2530,856,336,4617,7439,903,559,1752
220,1336,2565,802,354,4483,7005,807,487,1654
237,1339,2408,797,350,4876,7594,845,456,1758
179,1061,1881,588,326,3840,5917,674,376,1386
120,752,1369,396,265,3186,5176,498,310,1035
135,836,1426,494,257,3091,5657,488,309,1124
218,1309,2106,695,310,4117,7971,805,476,1599
191,1333,2156,689,333,4304,8300,836,491,1749
161,1115,1872,508,318,3611,6344,723,375,1758
138,876,1508,411,254,3475,5618,545,286,1297
132,732,1337,324,256,3041,4857,500,274,1119
155,749,1257,356,232,3074,4790,468,233,994
142,818,1603,407,251,3205,5218,538,273,1131
224,1379,2250,747,339,4377,7222,852,485,1669
205,1429,2631,795,383,4303,7473,804,472,1735
252,1350,2590,793,386,3996,9127,834,515,1618
204,1388,2611,758,425,4085,7580,884,501,1655
201,1103,1897,563,300,3635,6140,691,375,1353
159,855,1308,387,251,2914,5794,476,241,1105
150,1023,1673,506,273,3115,5771,617,263,1143
195,1371,2408,732,326,4231,7454,805,417,1585
194,1324,2568,892,368,4010,6853,883,411,1724
214,1358,2705,813,387,4059,7159,850,417,1828
199,1313,2503,743,367,3813,6611,822,438,1749
180,1059,2195,670,305,3437,5831,567,396,1498
131,865,1433,412,263,3018,4974,442,264,1254
159,992,1810,481,270,3208,5162,566,277,1240
185,1268,2330,681,335,3882,6328,777,394,1606
210,1377,2437,711,364,4157,6831,848,481,1759
178,1371,2188,665,416,3991,6483,678,480,1946
208,1195,1979,531,346,3811,6195,664,509,1734
185,947,1656,359,256,3287,5445,526,371,1406
90,561,1064,217,211,2492,4767,307,249,962
96,641,1167,267,191,2784,4805,335,209,868
124,833,1431,390,240,3589,5811,478,339,1212
148,803,1428,383,246,3753,5465,460,312,1210
107,801,1290,361,266,3507,5059,438,293,1183
125,721,1151,294,261,3140,4999,410,257,1132
12,29,42,14,18,213,264,21,15,57
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
37,210,320,79,83,1265,1507,95,66,328
127,684,1019,205,224,3432,5045,376,253,1068
155,693,1052,239,241,3556,5085,338,307,1203
116,720,1155,216,258,3379,5310,391,315,2407
112,634,1043,259,216,3181,5019,342,255,1008
73,478,707,149,214,2574,4080,299,162,761
57,439,640,171,181,2464,3708,254,170,687
121,703,1223,283,266,3378,5975,475,257,1050
119,941,1394,405,246,3901,6434,574,381,1216
165,948,1627,384,298,3966,6716,642,413,1410
197,1026,1599,422,304,4074,6599,711,398,1409
161,951,1491,344,286,3767,6514,595,364,1358
94,654,1158,250,269,3121,6046,429,275,1085
103,701,1359,302,343,3075,7155,510,277,1148
163,1164,1899,425,341,4297,7759,645,450,1628
151,1165,1857,429,364,4204,6673,678,432,1495
200,1238,2141,474,421,4203,7800,758,502,1646
195,1257,2067,449,350,4101,7010,810,504,1705
153,1033,1737,406,342,3839,6194,649,443,1455
106,646,1163,287,256,3018,4939,431,303,1082
97,763,1337,358,314,3156,5324,540,277,1135
136,1110,1745,438,329,3806,6359,631,444,1455
151,1200,2047,486,342,4125,6702,828,507,1599
124,1013,2121,443,276,3694,6200,723,469,1329
138,1198,2073,453,332,2952,6876,815,428,1512
160,1022,1875,436,334,3398,6578,642,374,1515
106,707,1435,319,276,3204,5187,546,261,1152
131,835,1467,421,314,3123,5631,746,393,1093
149,1201,2188,570,346,4069,6696,960,441,1507
169,1168,2350,590,364,4237,6961,930,486,1618
180,1158,2404,588,439,4197,7165,841,472,1667
160,1181,2482,569,497,3958,7157,817,493,1615
176,1131,2221,436,442,3781,6483,787,400,1557
92,749,1485,333,326,2890,5126,442,247,1113
110,900,1810,450,355,3338,5438,592,284,1206
192,1383,2675,593,454,4555,7735,918,525,1727
174,1259,2594,669,425,4249,7282,944,447,1593
154,1114,2654,668,438,3993,7025,991,427,1620
177,1279,2817,701,383,4121,6563,1016,438,1773
176,1061,2135,591,397,3794,6512,666,393,1444
123,792,1501,390,516,2938,5258,478,255,1086
123,867,1806,491,463,3057,5582,590,273,1169
204,1269,2662,680,443,4204,7293,857,433,1652
184,1300,2837,754,498,4141,7235,903,494,1757
200,1280,2878,779,477,4414,7417,880,461,1655
143,1217,2721,777,444,4482,7769,1146,435,1608
131,1027,2268,650,393,4036,7233,685,439,1502
105,832,1580,430,306,3495,6263,457,302,1189
104,932,1679,523,352,3165,6101,599,290,1453
189,1271,2543,734,443,3957,7396,731,445,1669
157,1271,2602,834,402,4076,7347,775,394,1709
153,1387,2670,836,385,4100,8128,903,436,1765
140,1280,2547,702,413,3953,7681,821,437,1798
125,1284,2346,637,431,3843,7568,656,452,1695
107,766,1318,371,321,2855,5745,462,242,1253
129,849,1694,654,329,3113,6677,593,273,1226
192,1217,2138,646,448,4009,7501,860,403,1603
182,1285,2633,732,470,4578,7688,878,450,1679
159,1229,2541,815,473,4197,8100,898,474,1659
183,1435,2569,841,363,4324,8571,828,449,1833
141,1192,2167,636,398,3910,8042,713,453,1640
140,912,1401,422,348,3253,6133,443,333,1228
132,1035,1657,559,345,3282,6153,586,359,1220
175,1523,2598,850,449,4728,8585,893,541,1687
182,1400,2495,896,452,4162,8337,972,505,1923
191,1439,2503,908,453,3753,8066,1073,461,1630
166,1329,2507,835,422,3693,9020,895,479,1715
162,1186,1970,675,363,4063,7110,713,351,1420
93,799,1313,459,299,3280,5645,534,254,1117
111,862,1675,571,413,3297,6824,727,322,1335
174,1320,2468,786,427,4123,7981,926,504,1554
182,1456,2526,894,410,4110,8040,934,486,1690
204,1478,2706,855,369,3873,8530,920,492,1712
190,1391,2536,767,324,3834,7696,439,501,1663
138,1129,1998,562,271,3597,6947,358,418,1505
92,861,1434,417,167,2271,5483,465,263,1001
111,901,1716,493,274,3316,5920,597,290,1292
194,1388,2132,671,372,4216,7488,830,446,1602
210,1337,2439,658,330,4330,7901,965,475,1752
184,1209,2265,658,379,3667,7272,880,377,1594
173,1219,2250,674,331,3743,7594,770,450,1595
165,1037,1719,479,281,3247,6477,621,321,1314
98,695,1151,345,257,2478,5889,479,259,1044
108,774,1525,443,311,2322,4750,531,224,1049
159,1196,2176,737,357,3210,6988,794,409,1553
185,1234,2183,684,320,3203,6932,851,425,1670
181,1222,2229,940,328,3261,6759,731,449,1557
178,1073,2005,638,313,2910,6021,684,325,1355
158,1063,1473,472,281,2666,5384,526,1024,1191
81,613,1089,352,220,2047,4009,355,317,836
98,859,1455,477,294,2373,4977,493,315,1120
179,1296,2198,663,360,3281,7272,682,444,1483
215,1209,2348,685,338,3017,7275,673,457,1497
181,1273,2156,590,337,3081,7082,642,385,1435
172,1171,2051,575,390,3026,6473,643,332,1452
128,1040,1765,457,463,2773,5919,566,378,1375
113,717,1207,357,256,2196,4943,395,243,981
93,713,1291,427,259,2453,5097,511,278,1101
181,1162,2022,641,404,3191,6623,638,463,1518
189,1295,2257,691,389,3247,6883,755,506,1530
167,1089,2053,609,371,3018,6176,585,483,1457
136,1013,1800,480,302,2707,5819,607,415,1305
108,831,1431,355,305,2490,4993,430,333,1139
79,640,1180,284,255,2208,4272,347,260,867
92,711,1333,394,258,2349,4520,353,212,947
