"Malaria","Malaria_vaccine","Protozoa","Plasmodium","Fever","Jaundice","Epileptic_seizure","Anopheles","Plasmodium_falciparum","Sepsis"
"5098.0","210.0","1436.0","476.0","3312.0","4158.0","1293.0","249.0","442.0","3675.0"
"5669.0","204.0","1653.0","455.0","3868.0","4719.0","1643.0","331.0","508.0","4643.0"
"4863.0","160.0","1453.0","501.0","3457.0","4143.0","1476.0","292.0","500.0","4212.0"
"4841.0","163.0","1282.0","414.0","3170.0","3984.0","1414.0","398.0","408.0","3959.0"
"3413.0","97.0","975.0","285.0","2560.0","3219.0","1170.0","191.0","311.0","2944.0"
"4269.0","118.0","1132.0","376.0","3409.0","3571.0","1396.0","241.0","418.0","3226.0"
"5364.0","162.0","1560.0","574.0","3797.0","4298.0","1558.0","341.0","453.0","4331.0"
"5653.0","173.0","1449.0","555.0","3903.0","4454.0","1557.0","353.0","563.0","4386.0"
"5761.0","169.0","1477.0","543.0","4099.0","4558.0","1584.0","361.0","562.0","4612.0"
"5335.0","164.0","1449.0","519.0","3892.0","4646.0","1659.0","306.0","491.0","4287.0"
"4595.0","157.0","1156.0","377.0","3385.0","3800.0","1560.0","274.0","338.0","3925.0"
"3564.0","81.0","957.0","286.0","2779.0","3083.0","1226.0","208.0","261.0","2891.0"
"3990.0","103.0","1077.0","343.0","3102.0","3530.0","1248.0","226.0","315.0","3321.0"
"5218.0","169.0","1450.0","445.0","3852.0","4076.0","1613.0","296.0","451.0","4189.0"
"5523.0","183.0","1447.0","492.0","3864.0","4233.0","1605.0","348.0","491.0","4389.0"
"5447.0","183.0","1451.0","623.0","3712.0","4084.0","1518.0","319.0","509.0","4282.0"
"5125.0","107.0","1296.0","458.0","3343.0","3687.0","1389.0","319.0","441.0","6168.0"
"4565.0","137.0","1085.0","342.0","3152.0","3690.0","1387.0","234.0","431.0","3817.0"
"3588.0","95.0","902.0","323.0","2899.0","3231.0","1286.0","220.0","311.0","2952.0"
"5333.0","91.0","1091.0","325.0","2928.0","3017.0","1173.0","268.0","290.0","2795.0"
"4920.0","139.0","1227.0","433.0","3571.0","3693.0","1525.0","348.0","393.0","3830.0"
"5211.0","129.0","1301.0","477.0","3755.0","3879.0","1556.0","323.0","418.0","4007.0"
