"Hepatitis_A","Hepatitis_B","Hepatitis_C","Viral_hepatitis","World_Hepatitis_Day","Jaundice","Hepatitis","Picornavirales","Hepatocellular_carcinoma","Hepatitis_C_virus"
"2662.0","5358.0","7123.0","384.0","65.0","4311.0","3785.0","10.0","1029.0","380.0"
"2947.0","5269.0","7971.0","477.0","79.0","4657.0","5837.0","31.0","969.0","369.0"
"2420.0","4590.0","7508.0","371.0","39.0","3805.0","3152.0","9.0","854.0","298.0"
"1526.0","3223.0","4341.0","277.0","37.0","3190.0","2329.0","5.0","558.0","218.0"
"1577.0","3242.0","4597.0","274.0","34.0","3642.0","2607.0","8.0","561.0","242.0"
"2084.0","4159.0","5416.0","311.0","52.0","4084.0","3090.0","12.0","715.0","362.0"
"2594.0","5333.0","6307.0","472.0","58.0","4734.0","3904.0","11.0","1032.0","373.0"
"2670.0","5166.0","6048.0","364.0","51.0","4330.0","3569.0","22.0","992.0","325.0"
"2464.0","4824.0","6284.0","382.0","70.0","4123.0","3741.0","13.0","967.0","368.0"
"2465.0","4638.0","6687.0","358.0","61.0","3892.0","3543.0","10.0","850.0","306.0"
"1734.0","3238.0","4980.0","293.0","27.0","3408.0","2525.0","12.0","638.0","249.0"
"1641.0","3152.0","4465.0","282.0","36.0","3385.0","2479.0","10.0","658.0","259.0"
"2448.0","4483.0","5756.0","423.0","70.0","4101.0","3305.0","12.0","892.0","351.0"
"2509.0","4900.0","6062.0","433.0","58.0","5142.0","3491.0","14.0","895.0","335.0"
"2696.0","4868.0","6195.0","403.0","51.0","4272.0","3400.0","16.0","970.0","362.0"
"2474.0","4742.0","5912.0","370.0","45.0","4185.0","3637.0","12.0","984.0","390.0"
"2173.0","4280.0","5414.0","332.0","73.0","4076.0","3158.0","6.0","839.0","282.0"
"1569.0","3190.0","4154.0","285.0","30.0","3242.0","2402.0","0.0","591.0","204.0"
"1500.0","3209.0","4006.0","272.0","35.0","3349.0","2447.0","7.0","586.0","230.0"
"2303.0","4651.0","5767.0","383.0","51.0","4412.0","3462.0","11.0","857.0","367.0"
"2202.0","4301.0","5383.0","373.0","54.0","4158.0","3195.0","14.0","931.0","313.0"
"2705.0","5088.0","6388.0","454.0","73.0","4719.0","3812.0","9.0","1048.0","368.0"
"2357.0","4582.0","5779.0","396.0","56.0","4143.0","3531.0","13.0","937.0","342.0"
"2161.0","4442.0","5672.0","327.0","56.0","3984.0","3276.0","9.0","852.0","352.0"
"1549.0","3239.0","4334.0","277.0","31.0","3219.0","2425.0","6.0","611.0","210.0"
"1687.0","3222.0","4237.0","310.0","40.0","3571.0","2755.0","17.0","692.0","247.0"
"2273.0","4707.0","5936.0","393.0","71.0","4298.0","3396.0","7.0","1016.0","360.0"
"2511.0","4932.0","6377.0","389.0","60.0","4454.0","3546.0","9.0","1149.0","340.0"
"2612.0","5180.0","6712.0","354.0","68.0","4558.0","3842.0","6.0","1132.0","346.0"
"2490.0","5113.0","6758.0","406.0","59.0","4646.0","3635.0","10.0","1151.0","363.0"
"2084.0","4360.0","6051.0","361.0","48.0","3800.0","3075.0","18.0","925.0","282.0"
"1478.0","3129.0","4223.0","274.0","39.0","3083.0","2349.0","4.0","601.0","228.0"
"1541.0","3106.0","4401.0","288.0","52.0","3530.0","2490.0","7.0","581.0","211.0"
"2191.0","4483.0","6173.0","374.0","63.0","4076.0","3282.0","12.0","864.0","295.0"
"2521.0","5734.0","6151.0","386.0","94.0","4233.0","3622.0","11.0","1021.0","334.0"
"2419.0","4771.0","6400.0","410.0","67.0","4084.0","3491.0","7.0","924.0","333.0"
"2156.0","4390.0","6045.0","328.0","58.0","3687.0","3121.0","6.0","818.0","307.0"
"1884.0","3911.0","5301.0","301.0","51.0","3690.0","2895.0","4.0","784.0","277.0"
"1409.0","3002.0","4000.0","263.0","40.0","3231.0","2286.0","8.0","620.0","193.0"
"1335.0","2745.0","3867.0","248.0","38.0","3017.0","2189.0","10.0","538.0","185.0"
"1832.0","3726.0","4769.0","342.0","65.0","3693.0","2932.0","9.0","797.0","281.0"
"2209.0","4443.0","5608.0","344.0","92.0","3879.0","3072.0","14.0","906.0","304.0"
"2209.0","4584.0","6013.0","390.0","91.0","4561.0","3302.0","7.0","905.0","338.0"
"2327.0","4665.0","5866.0","400.0","69.0","4164.0","3232.0","13.0","958.0","301.0"
"1970.0","4055.0","5303.0","299.0","78.0","3871.0","3067.0","8.0","823.0","289.0"
"1374.0","3174.0","4079.0","262.0","56.0","3154.0","2338.0","9.0","578.0","153.0"
"1379.0","2906.0","4004.0","263.0","38.0","3238.0","2205.0","9.0","538.0","209.0"
"2134.0","4538.0","5853.0","365.0","101.0","4091.0","3250.0","11.0","1118.0","269.0"
"2320.0","5062.0","6281.0","565.0","107.0","4545.0","4028.0","7.0","1071.0","297.0"
"2247.0","4574.0","5876.0","338.0","95.0","3984.0","3117.0","9.0","904.0","282.0"
"2567.0","4651.0","6013.0","369.0","100.0","3826.0","3252.0","9.0","944.0","284.0"
