"Measles","Sneeze","Measles_virus","Measles_vaccine","MMR_vaccine","MMRV_vaccine","Fever","Rhinitis","Conjunctivitis","Airborne_disease"
"2836.0","1057.0","32.0","30.0","1299.0","49.0","4873.0","1025.0","4593.0","81.0"
"3592.0","1070.0","41.0","30.0","1461.0","47.0","5787.0","1176.0","5259.0","82.0"
"4257.0","1287.0","41.0","48.0","2346.0","61.0","6371.0","1480.0","6391.0","82.0"
"4338.0","1306.0","59.0","47.0","2523.0","79.0","7202.0","1542.0","6743.0","124.0"
"4597.0","1395.0","58.0","56.0","2511.0","94.0","6926.0","1611.0","6550.0","83.0"
"4200.0","1357.0","51.0","58.0","2277.0","97.0","6781.0","1529.0","6128.0","124.0"
"3824.0","1181.0","23.0","45.0","2060.0","73.0","5705.0","1374.0","5401.0","68.0"
"3422.0","1123.0","27.0","44.0","1346.0","39.0","5341.0","1125.0","4760.0","81.0"
"3507.0","1189.0","43.0","41.0","1560.0","46.0","6125.0","1116.0","5083.0","84.0"
"4418.0","1279.0","43.0","64.0","2405.0","83.0","7004.0","1485.0","6509.0","89.0"
"4076.0","1144.0","50.0","47.0","2108.0","94.0","6655.0","1399.0","5568.0","101.0"
"4727.0","1157.0","33.0","52.0","2317.0","73.0","6673.0","1491.0","5633.0","125.0"
"3923.0","1042.0","53.0","50.0","1944.0","83.0","5709.0","1260.0","5173.0","94.0"
"3467.0","1017.0","41.0","45.0","1653.0","56.0","5105.0","1092.0","4771.0","95.0"
"2732.0","832.0","38.0","29.0","874.0","40.0","4413.0","915.0","4039.0","92.0"
"2973.0","857.0","42.0","35.0","1123.0","53.0","4967.0","1013.0","4510.0","97.0"
"3990.0","1043.0","35.0","62.0","1992.0","89.0","6045.0","1387.0","5684.0","95.0"
"4034.0","970.0","35.0","48.0","1980.0","44.0","6050.0","1343.0","5297.0","103.0"
"3580.0","1002.0","47.0","40.0","1870.0","70.0","5672.0","1299.0","4598.0","105.0"
"4279.0","940.0","41.0","52.0","1784.0","81.0","5469.0","1221.0","4624.0","109.0"
"3188.0","1021.0","41.0","44.0","1568.0","64.0","4959.0","1068.0","4571.0","88.0"
"2545.0","825.0","33.0","34.0","1009.0","35.0","4191.0","918.0","3718.0","80.0"
"3157.0","894.0","32.0","24.0","1208.0","45.0","4935.0","1043.0","4166.0","91.0"
"3618.0","1050.0","55.0","46.0","1928.0","57.0","6030.0","1280.0","5313.0","118.0"
"3773.0","1050.0","48.0","71.0","1836.0","95.0","5834.0","1178.0","5342.0","137.0"
"3547.0","1019.0","38.0","45.0","1594.0","63.0","5838.0","1302.0","4765.0","128.0"
"3595.0","1080.0","37.0","40.0","1699.0","76.0","5526.0","1151.0","5225.0","113.0"
"3231.0","961.0","51.0","33.0","1467.0","65.0","4915.0","1105.0","4999.0","88.0"
"2580.0","829.0","30.0","29.0","877.0","48.0","4708.0","897.0","4707.0","69.0"
"2878.0","812.0","38.0","52.0","957.0","62.0","4779.0","940.0","5177.0","89.0"
"3793.0","1086.0","59.0","54.0","1703.0","63.0","5919.0","1587.0","6182.0","114.0"
"3648.0","1093.0","40.0","35.0","1631.0","61.0","5792.0","1651.0","5984.0","112.0"
"4463.0","1128.0","40.0","45.0","1888.0","69.0","6013.0","1382.0","5491.0","128.0"
"4351.0","968.0","35.0","49.0","1999.0","60.0","5600.0","1394.0","4879.0","106.0"
"3321.0","942.0","31.0","39.0","1506.0","62.0","4806.0","1005.0","4546.0","88.0"
"2607.0","721.0","30.0","31.0","963.0","68.0","3954.0","942.0","3970.0","65.0"
