"Listeriosis","Listeria_monocytogenes","Central_nervous_system","Meningitis","Meningoencephalitis","Brain_abscess","Immunodeficiency","Gastroenteritis","Gentamicin","Listeria"
"652.0","1000.0","2607.0","7642.0","186.0","325.0","484.0","5790.0","1040.0","3926.0"
"339.0","677.0","2212.0","7187.0","163.0","251.0","436.0","5052.0","864.0","1635.0"
"237.0","413.0","1402.0","5549.0","142.0","267.0","335.0","4038.0","693.0","694.0"
"250.0","467.0","1750.0","6317.0","139.0","296.0","334.0","4344.0","772.0","671.0"
"351.0","591.0","2570.0","8362.0","192.0","273.0","529.0","6461.0","1015.0","998.0"
"365.0","553.0","2537.0","8385.0","200.0","316.0","561.0","6405.0","1054.0","831.0"
"299.0","529.0","2542.0","7426.0","176.0","274.0","461.0","5862.0","1062.0","802.0"
"275.0","476.0","2536.0","7365.0","189.0","304.0","516.0","5648.0","1029.0","780.0"
"297.0","491.0","2197.0","6573.0","153.0","265.0","486.0","5110.0","974.0","833.0"
"172.0","266.0","1410.0","5075.0","104.0","202.0","360.0","3946.0","677.0","563.0"
"232.0","386.0","1829.0","5577.0","151.0","247.0","331.0","4644.0","740.0","638.0"
"316.0","590.0","2486.0","7502.0","152.0","300.0","538.0","6724.0","1136.0","905.0"
"292.0","618.0","2687.0","7493.0","197.0","299.0","549.0","6209.0","1058.0","768.0"
"265.0","633.0","2653.0","7520.0","216.0","304.0","541.0","6035.0","1070.0","828.0"
"289.0","579.0","2509.0","7601.0","203.0","283.0","530.0","5724.0","1115.0","830.0"
"280.0","482.0","2095.0","7245.0","171.0","273.0","451.0","4782.0","880.0","749.0"
"211.0","362.0","1485.0","6549.0","124.0","225.0","345.0","3999.0","684.0","573.0"
"217.0","428.0","1779.0","6529.0","125.0","204.0","375.0","4441.0","718.0","645.0"
"314.0","585.0","2711.0","7951.0","202.0","286.0","503.0","6071.0","988.0","822.0"
"315.0","563.0","2499.0","8031.0","212.0","301.0","483.0","6293.0","1046.0","789.0"
"295.0","564.0","2773.0","8653.0","223.0","332.0","515.0","6245.0","1053.0","812.0"
"299.0","557.0","2670.0","8887.0","264.0","296.0","472.0","5722.0","968.0","779.0"
"220.0","490.0","1967.0","7616.0","175.0","277.0","473.0","5158.0","854.0","632.0"
"177.0","311.0","1550.0","5668.0","129.0","218.0","336.0","4025.0","611.0","488.0"
"251.0","416.0","1802.0","5572.0","153.0","201.0","386.0","4345.0","815.0","611.0"
