"Pertussis","Pathogenic_bacteria","Common_cold","Fever","Bordetella_pertussis","Airborne_disease","Pertussis_vaccine","Paroxysmal_attack","Syncope_(medicine)","Lymphocytosis"
"1444.0","85.0","3181.0","4315.0","111.0","64.0","17.0","47.0","815.0","161.0"
"1855.0","97.0","4319.0","5497.0","200.0","67.0","22.0","75.0","1154.0","165.0"
"2649.0","159.0","4920.0","6307.0","216.0","75.0","33.0","91.0","1384.0","262.0"
"3326.0","141.0","5209.0","6652.0","318.0","89.0","48.0","122.0","1546.0","285.0"
"3290.0","175.0","5655.0","6935.0","268.0","91.0","48.0","117.0","1491.0","340.0"
"3909.0","174.0","5483.0","6826.0","298.0","90.0","56.0","119.0","1581.0","297.0"
"3597.0","208.0","4863.0","6138.0","307.0","101.0","55.0","106.0","1500.0","321.0"
"2353.0","177.0","3698.0","5020.0","250.0","67.0","35.0","71.0","1101.0","218.0"
"2278.0","142.0","4135.0","5419.0","275.0","74.0","43.0","74.0","1274.0","221.0"
"2989.0","225.0","5012.0","6334.0","327.0","136.0","42.0","125.0","1526.0","326.0"
"2974.0","221.0","4733.0","6682.0","308.0","153.0","54.0","119.0","1502.0","399.0"
"2535.0","223.0","4380.0","6478.0","355.0","124.0","43.0","121.0","1502.0","363.0"
"2778.0","197.0","4501.0","6391.0","387.0","86.0","51.0","101.0","1503.0","339.0"
"2636.0","219.0","3972.0","6067.0","347.0","96.0","38.0","87.0","1448.0","346.0"
"2010.0","148.0","2960.0","4873.0","237.0","81.0","28.0","67.0","1136.0","212.0"
"2116.0","146.0","3642.0","5787.0","251.0","82.0","35.0","129.0","1237.0","254.0"
"3026.0","189.0","3967.0","6371.0","356.0","82.0","46.0","172.0","1690.0","361.0"
"3405.0","236.0","4250.0","7202.0","357.0","124.0","51.0","184.0","1691.0","401.0"
"3466.0","242.0","4330.0","6926.0","421.0","83.0","54.0","156.0","1764.0","439.0"
"3488.0","223.0","4224.0","6781.0","349.0","124.0","44.0","163.0","1622.0","408.0"
"2988.0","201.0","3595.0","5705.0","274.0","68.0","35.0","146.0","1527.0","379.0"
"2224.0","165.0","3338.0","5341.0","218.0","81.0","28.0","102.0","1286.0","268.0"
"2242.0","164.0","3659.0","6125.0","273.0","84.0","40.0","117.0","1305.0","202.0"
"2961.0","243.0","4457.0","7004.0","328.0","89.0","46.0","153.0","1686.0","387.0"
"2780.0","254.0","4009.0","6655.0","278.0","101.0","67.0","175.0","1662.0","352.0"
"2840.0","245.0","4339.0","6673.0","369.0","125.0","47.0","165.0","1767.0","426.0"
"2630.0","188.0","3639.0","5709.0","333.0","94.0","47.0","146.0","1641.0","352.0"
"2552.0","207.0","3414.0","5105.0","304.0","95.0","30.0","139.0","1531.0","332.0"
"1747.0","204.0","2889.0","4413.0","221.0","92.0","38.0","96.0","1103.0","206.0"
"1950.0","194.0","3248.0","4967.0","202.0","97.0","24.0","115.0","1292.0","265.0"
"2999.0","251.0","4193.0","6045.0","351.0","95.0","34.0","151.0","1744.0","317.0"
"3268.0","302.0","4135.0","6050.0","325.0","103.0","41.0","131.0","1678.0","363.0"
"3153.0","246.0","3858.0","5672.0","373.0","105.0","56.0","122.0","1653.0","348.0"
"2823.0","254.0","3898.0","5469.0","327.0","109.0","52.0","162.0","1578.0","316.0"
"2651.0","218.0","3384.0","4959.0","330.0","88.0","39.0","124.0","1496.0","291.0"
"1956.0","211.0","2808.0","4191.0","187.0","80.0","32.0","97.0","1184.0","181.0"
"2009.0","182.0","3059.0","4935.0","233.0","91.0","37.0","110.0","1409.0","193.0"
"2507.0","231.0","3846.0","6030.0","378.0","118.0","45.0","165.0","1753.0","346.0"
"2620.0","236.0","3930.0","5834.0","402.0","137.0","41.0","156.0","1703.0","357.0"
"2646.0","224.0","3850.0","5838.0","380.0","128.0","47.0","123.0","1721.0","380.0"
"2931.0","195.0","3730.0","5526.0","430.0","113.0","45.0","111.0","1652.0","336.0"
"2611.0","195.0","3347.0","4915.0","301.0","88.0","42.0","107.0","1526.0","292.0"
"2104.0","173.0","2921.0","4708.0","217.0","69.0","31.0","100.0","1251.0","222.0"
"1922.0","159.0","3050.0","4779.0","245.0","89.0","27.0","113.0","1281.0","203.0"
"3118.0","236.0","3882.0","5919.0","401.0","114.0","52.0","150.0","1677.0","364.0"
"3452.0","238.0","4037.0","5792.0","390.0","112.0","60.0","146.0","1739.0","334.0"
