Alabama,Alaska,Arizona,Arkansas,Colorado,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Missouri,Nebraska,New_Mexico,New_York,North_Carolina,Ohio,Oklahoma,Pennsylvania,Tennessee,Texas,Virginia,Bati_Virginia,Wyoming,Utah
0.007560596,0.0300796225,0.003852002,0.0085804095,0.0027100271,0.0194779592,0.000925212,0.0398100434,0.003823095,0.0218517684,0.0044345898,0.004413425,0.0116877389,0.0069708162,0.0161028103,0.0070381908,0.0008588114,0.0030707226,0.0162582282,0.0057061341,0.0071991439,0.0053763441,0.0101741752,0.0148488598,0.0034088327,0.0034296638,0.0125574273,0.0203070035,0.0148603638,0.0142471506
0.0068934845,0.0277204364,0.0012164217,0.0056070003,0.0018066847,0.0162447756,0.0047802621,0.0347580075,0.000173777,0.0125028159,0.0056818182,0.0027712204,0.0086739194,0.0044217864,0.0111480994,0.0046152071,0.0006870491,0.002399002,0.0122928067,0.0062608971,0.0019457146,0.0053763441,0.0071177357,0.0162630369,0.0030300735,0.0028111998,0.0135783563,0.0168692037,0.013579298,0.0110977804
0.0052627678,0.024918903,0,0.0062441594,0,0.0139578898,0.0050886662,0.0247549763,0.0040837605,0.0020274837,0.0062361419,0.0014369291,0.0080123493,0,0.009754587,0.0017307027,0.0008588114,0.0003838403,0.0084066936,0.0061023934,0.0030158576,0.0057821059,0.0054429744,0.0073360438,0.0022725551,0.0024738558,0.0040837162,0.0127118644,0.0117858058,0.0076484703
0.0038544215,0.0237393099,0.0002027369,0.0048848866,0.0006775068,0.0116710039,0,0.0184904517,0.0012164393,0.0074341068,0.0042960089,0.0014369291,0.0055130844,0.0025490298,0.0058837191,0.0002307604,0.0008588114,0,0.006820525,0.002298304,0.0008755716,0.0002028809,0.0033495227,0.0085734488,0.0023483069,0.0014055999,0.008575804,0.0105532459,0.0102485268,0.0014997001
0.0017048403,0.0175464465,0.0011150532,0.0032707501,0.0050813008,0.0087532529,0.0049344641,0.0159644337,0,0.0111511602,0.0030487805,0.0010263779,0.0046309909,0.0009883993,0.0070449795,0.0042690666,0,0.0006717206,0.0037274962,0.0010302742,0.0043778578,0,0.0005442974,0,0.0012877812,0.0019116159,0,0.0066357531,0.0090955675,0.00104979
0.0008153584,0.0140076674,0.0028383173,0.0014867046,0.0029358627,0.0075703809,0.001079414,0.0090936647,0.0012164393,0.0047307952,0.0036031042,0.000513189,0.0011026169,0.0021328617,0.0084384919,0.0040383062,0.0010305737,0.0005757605,0.0022206361,0,0.0024321432,0.0038547373,0.0006280355,0.008838607,0,0,0.0094946401,0.0046370323,0.0069177556,0
0,0.0138602182,0.0019766853,0.0001699091,0.0013550136,0.0039429067,0.0024672321,0.0040416288,0.0043444261,0.0066456409,0.0011086475,0.0001026378,0,0.0041616813,0.0064256406,0,0.0056681553,0.001151521,0.0003965422,0.002853067,0,0.0090282004,0,0.0078663603,0.0003030073,0.0038794558,0.0052067381,0.001918772,0.0062772226,0.0044991002
0.0022978282,0.007962253,0.0072985302,0,0.0038392051,0,0.0043176561,0.0022228958,0.0041706491,0.0147555756,0,0,0.0033078506,0.0052021016,0.0046450414,0.0021922234,0.0053246307,0.0024949621,0,0.0046758599,0.0048642864,0.0107526882,0.0015072852,0.0033586707,0.0048481176,0.0036545598,0.007452782,0.0011992325,0.0044837305,0.0047990402
0.0097101772,0.0044234739,0.0121135327,0.0023787274,0.0118563686,0.0002365744,0.0185042406,0.0005052036,0.0137283865,0.0373958099,0.0048503326,0.0003079134,0.01764187,0.012537065,0,0.0088842737,0.0039505325,0.0064293254,0.0064239829,0.0041210968,0.0066154295,0.0128829377,0.0075782951,0.0114901891,0.0121202939,0.0113010233,0.010719755,0,0.0025621317,0.0073485303
0.0218664295,0.0047183722,0.0286872783,0.0051397502,0.0111788618,0.0002365744,0.0249807247,0,0.0231992354,0.0594728542,0.0073447894,0.0041055116,0.0328579829,0.0215887218,0.0117674383,0.0176531672,0.0073857781,0.0092121677,0.0107066381,0.0120462831,0.0183870026,0.0270846013,0.0164963993,0.0298744918,0.0212105144,0.0235016305,0.0307299643,0.0065558043,0.001537279,0.0101979604
