Week,water pollution,malaria,malaria vaccine,fever,influenza
Harrisburg-Lancaster-Lebanon-York PA,0,0,,66,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0,0,,66,0
Harrisonburg VA,0,0,,66,0
Florence-Myrtle Beach SC,0,0,,66,0
Ft. Myers-Naples FL,0,0,,66,0
Roanoke-Lynchburg VA,0,0,,66,0
Johnstown-Altoona PA,0,0,,66,0
Chattanooga TN,0,0,,66,0
Salisbury MD,0,0,,65,0
Wilkes Barre-Scranton PA,0,0,,65,0
Terre Haute IN,0,0,,65,0
Lafayette IN,0,0,,65,0
Alpena MI,0,0,,65,0
Charlottesville VA,0,0,,65,0
South Bend-Elkhart IN,0,0,,64,0
Gainesville FL,0,0,,64,0
Zanesville OH,0,0,,64,0
Parkersburg WV,0,0,,64,0
Clarksburg-Weston WV,0,0,,64,0
Corpus Christi TX,0,0,,64,0
Joplin MO-Pittsburg KS,0,0,,64,0
Columbia-Jefferson City MO,0,0,,64,0
Topeka KS,0,0,,64,0
Dothan AL,0,0,,63,0
St. Louis MO,0,0,,63,0
Rockford IL,0,0,,63,0
Rochester MN-Mason City IA-Austin MN,0,0,,63,0
Shreveport LA,0,0,,63,0
Minneapolis-St. Paul MN,0,0,,63,0
Kansas City MO,0,0,,62,0
Milwaukee WI,0,0,,62,0
Houston TX,0,0,,62,0
Springfield MO,0,0,,62,0
New Orleans LA,0,0,,62,0
Dallas-Ft. Worth TX,0,0,,62,0
Sioux City IA,0,0,,62,0
Waco-Temple-Bryan TX,0,0,,62,0
Victoria TX,0,0,,62,0
Wichita Falls TX & Lawton OK,0,0,,62,0
Monroe LA-El Dorado AR,0,0,,61,0
Birmingham AL,0,0,,61,0
Ottumwa IA-Kirksville MO,0,0,,61,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0,0,,61,0
Odessa-Midland TX,0,0,,61,0
Amarillo TX,0,0,,61,0
Austin TX,0,0,,61,0
Harlingen-Weslaco-Brownsville-McAllen TX,0,0,,61,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0,0,,61,0
St. Joseph MO,0,0,,60,0
Jackson TN,0,0,,60,0
Memphis TN,0,0,,60,0
San Antonio TX,0,0,,60,0
Lafayette LA,0,0,,60,0
Lake Charles LA,0,0,,60,0
Alexandria LA,0,0,,60,0
