Web Search interest: fever
United States Dec 2010 - Feb 2014

Interest over time
Week,fever
2012-11-18 - 2012-11-24,60
2012-11-25 - 2012-12-01,62
2012-12-02 - 2012-12-08,66
2012-12-09 - 2012-12-15,67
2012-12-16 - 2012-12-22,71
2012-12-23 - 2012-12-29,81
2012-12-30 - 2013-01-05,79
2013-01-06 - 2013-01-12,79
2013-01-13 - 2013-01-19,77
2013-01-20 - 2013-01-26,76
2013-01-27 - 2013-02-02,74
2013-02-03 - 2013-02-09,74
2013-02-10 - 2013-02-16,67
2013-02-17 - 2013-02-23,68
2013-02-24 - 2013-03-02,66
2013-03-03 - 2013-03-09,66
2013-03-10 - 2013-03-16,68
2013-03-17 - 2013-03-23,65
2013-03-24 - 2013-03-30,65
2013-03-31 - 2013-04-06,65
2013-04-07 - 2013-04-13,66
2013-04-14 - 2013-04-20,62
2013-04-21 - 2013-04-27,62
2013-04-28 - 2013-05-04,63
2013-05-05 - 2013-05-11,65
2013-05-12 - 2013-05-18,61
2013-05-19 - 2013-05-25,57
2013-05-26 - 2013-06-01,59
2013-06-02 - 2013-06-08,58
2013-06-09 - 2013-06-15,56
2013-06-16 - 2013-06-22,56
2013-06-23 - 2013-06-29,58
2013-06-30 - 2013-07-06,58
2013-07-07 - 2013-07-13,58
2013-07-14 - 2013-07-20,55
2013-07-21 - 2013-07-27,55
2013-07-28 - 2013-08-03,55
2013-08-04 - 2013-08-10,55
2013-08-11 - 2013-08-17,54
2013-08-18 - 2013-08-24,54
2013-08-25 - 2013-08-31,56
2013-09-01 - 2013-09-07,55
2013-09-08 - 2013-09-14,58
2013-09-15 - 2013-09-21,58
2013-09-22 - 2013-09-28,58
2013-09-29 - 2013-10-05,58
2013-10-06 - 2013-10-12,57
2013-10-13 - 2013-10-19,58
2013-10-20 - 2013-10-26,58
2013-10-27 - 2013-11-02,58
2013-11-03 - 2013-11-09,57
2013-11-10 - 2013-11-16,60
2013-11-17 - 2013-11-23,60
2013-11-24 - 2013-11-30,54
2013-12-01 - 2013-12-07,60
2013-12-08 - 2013-12-14,65
2013-12-15 - 2013-12-21,68
2013-12-22 - 2013-12-28,74
2013-12-29 - 2014-01-04,78
2014-01-05 - 2014-01-11,73
2014-01-12 - 2014-01-18,73
2014-01-19 - 2014-01-25,73
2014-01-26 - 2014-02-01,71
2014-02-02 - 2014-02-08,69
2014-02-09 - 2014-02-15,68
2014-02-16 - 2014-02-22,66
2014-02-23 - 2014-03-01,67


Top subregions for fever
Subregion,fever
Alabama,100
Arizona,99
Mississippi,98
Arkansas,94
Louisiana,93
Indiana,92
Hawaii,91
Oklahoma,90
Kentucky,90
Tennessee,89
West Virginia,87
Texas,85
North Carolina,84
Georgia,83
South Carolina,82
Missouri,80
Alaska,79
Pennsylvania,79
Illinois,78
Nevada,78
California,78
New Jersey,78
Kansas,78
Florida,77
New York,77
Vermont,77
Delaware,77
Maryland,76
Virginia,76
Wyoming,76
Montana,75
New Mexico,75
Nebraska,74
Washington,73
Minnesota,73
Massachusetts,73
Ohio,73
South Dakota,72
New Hampshire,72
District of Columbia,72
Michigan,72
North Dakota,71
Maine,71
Connecticut,71
Iowa,70
Wisconsin,70
Colorado,70
Rhode Island,70
Idaho,70
Utah,70
Oregon,61


Top metros for fever
Metro,fever
Hattiesburg-Laurel MS,100
Odessa-Midland TX,95
Bakersfield CA,90
Columbus-Tupelo-West Point MS,87
Bowling Green KY,85
South Bend-Elkhart IN,82
Birmingham AL,82
Jackson MS,81
Evansville IN,81
Tucson (Sierra Vista) AZ,80
Shreveport LA,80
Missoula MT,79
Ft. Smith-Fayetteville-Springdale-Rogers AR,79
Huntsville-Decatur (Florence) AL,79
Lafayette LA,79
Tri-Cities TN-VA,78
New Orleans LA,78
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,78
Mobile AL-Pensacola (Ft. Walton Beach) FL,78
Little Rock-Pine Bluff AR,77
Charleston-Huntington WV,77
Erie PA,77
Baton Rouge LA,77
Phoenix AZ,77
Yakima-Pasco-Richland-Kennewick WA,76
Corpus Christi TX,76
Nashville TN,76
Lubbock TX,76
Chattanooga TN,76
Tyler-Longview(Lufkin & Nacogdoches) TX,76
Montgomery (Selma) AL,75
Oklahoma City OK,75
Charlottesville VA,75
Indianapolis IN,75
Lexington KY,75
Honolulu HI,74
Columbia-Jefferson City MO,74
Wilmington NC,74
Austin TX,73
Waco-Temple-Bryan TX,72
Amarillo TX,72
Louisville KY,71
Memphis TN,71
Tulsa OK,71
Rockford IL,71
Springfield MO,71
Columbus GA,71
Greenville-Spartanburg SC-Asheville NC-Anderson SC,70
Binghamton NY,70
Rochester MN-Mason City IA-Austin MN,70
Wausau-Rhinelander WI,70
Knoxville TN,70
Gainesville FL,70
Dallas-Ft. Worth TX,70
Roanoke-Lynchburg VA,69
Greensboro-High Point-Winston Salem NC,69
Greenville-New Bern-Washington NC,69
Charleston SC,69
Augusta GA,69
Ft. Wayne IN,69
Raleigh-Durham (Fayetteville) NC,68
Florence-Myrtle Beach SC,68
Topeka KS,68
Chico-Redding CA,68
Charlotte NC,68
Atlanta GA,67
Wichita-Hutchinson KS,67
La Crosse-Eau Claire WI,67
Wilkes Barre-Scranton PA,66
Santa Barbara-Santa Maria-San Luis Obispo CA,66
St. Louis MO,66
Philadelphia PA,66
Peoria-Bloomington IL,66
Columbia SC,66
Flint-Saginaw-Bay City MI,66
Tallahassee FL-Thomasville GA,66
Davenport IA-Rock Island-Moline IL,65
New York NY,65
El Paso TX,65
Las Vegas NV,65
Orlando-Daytona Beach-Melbourne FL,65
Youngstown OH,65
Burlington VT-Plattsburgh NY,64
Johnstown-Altoona PA,64
Chicago IL,64
Albuquerque-Santa Fe NM,64
Houston TX,64
Richmond-Petersburg VA,64
Dayton OH,64
Anchorage AK,64
Harrisburg-Lancaster-Lebanon-York PA,64
Fresno-Visalia CA,63
Champaign & Springfield-Decatur IL,63
San Antonio TX,63
Jacksonville FL,63
Springfield-Holyoke MA,63
Savannah GA,63
Kansas City MO,62
San Francisco-Oakland-San Jose CA,62
Macon GA,62
Baltimore MD,62
Lansing MI,62
Abilene-Sweetwater TX,62
Miami-Ft. Lauderdale FL,62
Palm Springs CA,62
Spokane WA,62
Syracuse NY,62
Harlingen-Weslaco-Brownsville-McAllen TX,61
Sacramento-Stockton-Modesto CA,61
Pittsburgh PA,61
Los Angeles CA,61
Madison WI,61
San Diego CA,61
Colorado Springs-Pueblo CO,61
Sioux Falls(Mitchell) SD,61
Cincinnati OH,61
Monterey-Salinas CA,60
Omaha NE,60
Washington DC (Hagerstown MD),60
Traverse City-Cadillac MI,60
Columbus OH,60
Eugene OR,60
Seattle-Tacoma WA,60
Hartford & New Haven CT,60
Toledo OH,60
Boston MA-Manchester NH,60
Reno NV,59
Portland-Auburn ME,59
Buffalo NY,59
Cleveland-Akron (Canton) OH,59
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,59
Detroit MI,58
Lincoln & Hastings-Kearney NE,58
Tampa-St. Petersburg (Sarasota) FL,58
Denver CO,58
Albany-Schenectady-Troy NY,58
Milwaukee WI,58
Norfolk-Portsmouth-Newport News VA,58
Rochester NY,58
Minneapolis-St. Paul MN,58
Providence RI-New Bedford MA,57
Salt Lake City UT,56
Ft. Myers-Naples FL,56
Grand Rapids-Kalamazoo-Battle Creek MI,56
Boise ID,56
Des Moines-Ames IA,56
Fargo-Valley City ND,54
West Palm Beach-Ft. Pierce FL,54
Green Bay-Appleton WI,52
Portland OR,48
Albany GA,0
Utica NY,0
Bangor ME,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for fever
City,fever
Indianapolis,100
Phoenix,96
Austin,95
Nashville,94
Dallas,89
Atlanta,89
Charlotte,83
Philadelphia,83
Miami,83
San Francisco,82
Las Vegas,82
St. Louis,81
Orlando,81
New York,79
Chicago,79



Top searches for fever
fever symptoms,100
cabin fever,60
scarlet fever,60
high fever,60
baby fever,55
yellow fever,45
night fever,45
fever temperature,40
fever blister,35
toddler fever,35
fever rash,35
child fever,35
fever blisters,30
dengue fever,30
valley fever,30
sore throat,30
cat scratch fever,30
fever headache,25
saturday night fever,25
fever in children,25
fever lyrics,25
low grade fever,25
hay fever,20
rocky mountain fever,20
rheumatic fever,20
infant fever,15
fever in adults,15
jungle fever,15
strep throat,15
dog fever,15
typhoid fever,15
cabin fever 2,15
wiz khalifa,15
fever pitch,15
starve a fever,10
feed a fever,10
fever remedies,10
102 fever,10
flu symptoms,10
103 fever,10
teething fever,10
fever and rash,10
fever ray,10
chills and fever,10
drama fever,10
fever reducer,10
bieber fever,10
pneumonia,10
spring fever,10
scarlet fever rash,10



Rising searches for fever
wiz khalifa,+400%
cabin fever 2,+200%
102 fever,+70%
toddler fever,+70%
baby fever,+60%
fever headache,+60%
cabin fever,+50%
fever blister,+50%
sore throat,+50%
103 fever,+40%



