,Measles,Measles_virus,Measles_vaccine,Conjunctivitis,Pneumonia,Morbillivirus,Q_fever,Typhoid-fever,Pertussis,Meningococcal,Listeriosis,Malaria,Lyme,Legionnaires,Hepatitis A,Hepatitis B,Hepatitis C,Haemophilus
3/12/11,1.6097762974,1.4716596668,0.5683211448,3.7939752634,1.7774423391,0.8582052855,1.7801067256,1.1608206462,2.8295492664,1.5178433331,0.6371856456,2.9559205848,1.1252199603,0.9528717246,1.149425811,2.8105318821,3.4037114191,2.7812635107
3/19/11,1.6546383083,1.5470074098,0.6025507144,3.9480550597,1.6993161542,0.8284640864,1.8421953197,1.2209521207,2.7419910196,1.6577789768,0.7179887319,2.676491775,1.2717090041,0.8191462274,1.1719648742,2.8777534232,4.0485005785,2.9871629871
3/26/11,1.6816012147,1.6600290243,0.5897146258,4.2593623498,1.6662094908,1.1791623922,2.2853374425,1.2615781377,2.8676180694,1.4213725484,0.6815726407,2.6481625869,1.3560368613,1.0774795742,1.1513275445,3.0887128769,4.0300214624,3.074900221
4/2/11,1.7793988753,1.7981665532,0.6424852122,4.5842047394,1.6131210859,0.8842288347,1.9615028143,1.2686597369,2.4867396957,2.0229898046,0.6220252986,2.5583214205,1.5194945773,0.8689893673,1.1512571099,4.3665860743,4.0995821352,3.0876362711
4/9/11,1.9412524802,1.710260853,0.6610262291,4.5945921414,1.6244452271,1.3315860375,5.1560218536,1.2831956512,2.8440154115,1.9026663534,0.6670374627,2.4299485961,1.6579933097,0.8659501514,3.0277749837,4.1677430959,3.7583784552,3.2326857304
4/16/11,1.861887089,1.8044455318,0.6139605709,4.6065533922,1.4787204993,1.0973740948,3.4504116501,1.275492859,2.4557136212,1.672620636,0.646094303,2.4050862667,1.5870685556,2.7216953461,1.092796415,2.9497883586,3.5590679883,3.0444752125
4/23/11,1.810398601,1.6223551528,0.6710098535,4.4469651252,1.3535662297,0.9548641825,2.768654538,1.4382454038,2.4193579144,1.6482379102,0.6503141934,2.7322586732,1.7878573506,1.0835580059,1.2836741058,2.9227337631,3.6933055676,3.0649944043
4/30/11,1.8202240669,1.6160761742,0.7594362416,4.4721467058,1.3436965654,0.9263622001,2.8319605556,1.3728959087,2.5280443469,1.6243852437,0.7600313435,2.7043256976,1.9051774616,0.9881266284,1.1045589885,3.2965187274,3.2103406681,3.1399955881
5/7/11,1.8089514394,1.4151488595,0.6439114443,4.7489867074,1.3981701863,0.9920406814,2.8088295107,2.0390631951,2.7654033334,1.6508882065,0.6948574809,2.8089257767,2.2425748077,0.9735383923,1.1073763714,3.4165216267,3.5420408027,3.2404688721
5/14/11,1.8560984424,1.6097971956,0.6439114443,4.4172193831,1.4396574069,0.9003386509,2.7564803039,1.5127885541,2.6247391064,1.6598992139,0.6896998371,2.843099098,2.4532440953,0.9212638798,1.1436501761,3.5222503222,4.0553642502,2.9001333115
5/21/11,2.4984858795,1.7353767673,0.8935020558,4.2919410197,1.3183817422,0.9028170841,2.6262159986,1.2179703947,2.517194738,1.6408170806,0.6284332803,2.624687001,3.2329868033,0.8799305443,1.1106867963,3.1941096142,4.0684316252,2.3921064248
5/28/11,2.684103402,1.2456164377,0.7822559547,4.0616869421,1.2815696259,0.8916641345,2.2634238211,1.5045888076,2.3013446252,1.4462853335,0.6675063395,2.4757111307,3.0413911624,0.8762834853,1.008486232,2.7771700802,3.1403840141,2.1487063565
6/4/11,1.8468823078,1.3586380522,0.6995344948,4.1515537078,1.3367012244,0.8073974037,2.5263872786,1.2031860033,2.426590987,1.6439974362,0.6257763123,2.1480434587,2.6657176468,0.9024207415,1.0292644308,2.6241373373,3.0221176709,2.1890371818
6/11/11,1.559734971,1.2644533734,0.8464363976,4.1090597906,1.1678780191,0.7603071719,2.3267298386,1.2818290268,2.4258296109,1.5189034516,0.6306213716,2.0219488558,2.5423833228,1.0786952605,0.9674228764,2.5909415145,2.8063079932,2.1402156564
6/18/11,1.5657521168,0.7558561081,0.7908133471,4.2168684325,1.1971753384,0.6896718241,3.0316179955,1.3128886728,2.3643484941,1.5289745775,0.7634697727,2.0667208594,2.8306359574,0.8598717197,0.9962306164,2.8050545714,3.236079437,2.0114400389
6/25/11,1.4047363423,0.8814356798,0.6767147818,4.0010937638,1.0856654469,0.7689816883,2.5349092425,1.3691687512,2.0721704313,1.3752573931,0.6065523672,1.9718279846,3.3036108467,0.7772050487,0.924669091,2.6010662405,3.0102382391,1.5586027025
7/2/11,1.2636761653,0.6930663222,0.6681573894,3.8312754797,1.0200408368,0.6896718241,1.5974932134,1.3649446394,1.8313852525,1.2793166677,0.6145232712,2.1016866055,2.540450183,0.7607932832,0.8613484106,2.2186503622,2.578882871,1.4899695437
7/9/11,1.1997725537,0.6742293865,0.6710098535,3.8018445074,1.0348280181,0.6190364762,1.7569756807,1.6628687634,1.991845257,1.2793166677,0.5765442577,2.1382372013,2.4827566974,1.4579893979,0.9179778066,2.5423096342,2.8832603125,1.4128456849
7/16/11,1.2982557119,0.6428344935,0.6096818747,3.5305129765,1.01945212,0.6054050933,1.7448014465,1.7311999845,2.067792519,1.2962785639,0.5954556184,1.9538003194,2.6305345011,1.6512835257,0.9624220217,2.9380038415,3.0803268867,1.4496387185
7/23/11,1.253393701,0.96934138,0.7280591362,3.6746775254,1.0486801785,0.6314286425,1.6559295373,1.7129369126,2.2923984565,1.4579466371,0.6445313807,2.0302693166,2.2406416678,0.8999893689,1.1400580129,3.8767817094,4.4735202496,1.4567143019
7/30/11,1.3235429575,0.6930663222,0.6738623177,3.605113409,0.9833672421,0.616558043,1.6754083119,1.6795167336,2.2817391917,4.7034994647,0.6193683306,2.0416604237,2.0961716812,0.8702050536,1.0422243921,2.8379184359,3.2195802261,1.3385520594
8/6/11,1.157043202,0.6302765364,0.6367802839,3.5179221862,1.0150194287,0.5459226952,1.8105423109,1.9755772788,2.4081276175,2.337845003,0.5934238193,1.9140800242,2.1288202657,0.7930089711,1.2983949314,2.6048837601,3.068843436,1.2953910008
