Disease,"Offset(wiki,gt)",flu,haemophilus,flu,Hepatitis_A,flu,Hepatitis_C,flu,Listerosis,flu,Lyme,flu,Malaria,flu,Measles,flu,Pertussis,flu,Q-Fever,flu,Typhoid-Fever
Haemophilus,"-10,0",0.1181144842,0.6672388538,0.1676136286,1.2699687688,0.1134322607,0.963435877,0.1292603419,1.0495110701,0.0877290797,0.6599683085,0.1213732295,1.0450921655,0.1116045656,0.0197197805,0.1185969077,0.5584695953,0.1411079229,1.09869114,0.1191327173,0.9256816584
Haemophilus,"-10,-1",0.1019814384,0.653014877,0.1511176572,1.278400326,0.1058919014,0.9724089086,0.1161610501,0.7678581443,0.0691347268,0.6077841046,0.1234309094,1.0121542895,0.0626263573,0.0196458392,0.1146944847,0.5506869427,0.1374532319,1.1121788864,0.1569012868,0.9440663612
Haemophilus,"-10,-2",0.1184473626,0.6750704005,0.1467411075,1.1756412577,0.1426224892,0.9934869826,0.1852359406,1.4096176511,0.0841808967,0.5763193469,0.1308733856,0.9808659104,0.1120945855,0.0189650056,0.1157060876,0.5849059259,0.1667233884,1.0889085283,0.1289472455,0.9523710955
Haemophilus,"-12,0",0.1373571912,0.6798800936,0.1524957,1.2487838838,0.1161829863,0.9870989854,0.1246317487,1.0049984885,0.0946725547,0.6586290752,0.119332625,1.0434555936,0.1082011141,0.0195553943,0.1008670935,0.5524619835,0.1389880887,1.0967798974,0.108739457,0.9427478511
Haemophilus,"-12,-1",0.1001898496,0.6601677971,0.1367706575,1.2664450052,0.1031954246,0.9816514392,0.0889802962,0.6816929175,0.0864063456,0.656754839,0.1176326388,1.0173427837,0.0599245227,0.019815254,0.1127969758,0.5264084588,0.1339653159,1.1071721597,0.1486973396,0.9555112097
Haemophilus,"-12,-2",0.1336279997,0.7030385234,0.1496517526,1.1727012778,0.1442274916,1.024657433,0.1435449211,2.1682102256,0.1029105311,0.5996061596,0.1382266132,0.9952414844,0.1076945234,0.0188050697,0.0989469673,0.5427114338,0.1537447428,1.0863981229,0.1389800485,0.954014949
Haemophilus,"-14,0",0.1302477634,0.6741375814,0.1369935331,1.2826301469,0.120881562,0.9787698123,0.1240775729,0.8676183759,0.0977460049,0.6537220111,0.1210142302,1.0586841148,0.104991672,0.0192996718,0.103157833,0.5363173814,0.142177062,1.0979970138,0.1304413249,0.9390229542
Haemophilus,"-14,-1",0.1174575325,0.6708783272,0.1096148015,1.2168686204,0.0969611845,0.9723481197,0.0921285105,0.6966555668,0.0797182901,0.6392353151,0.1342451905,1.0482233368,0.0548295367,0.0197613243,0.0961412418,0.507559634,0.137086849,1.1034806386,0.1543115864,0.9544645111
Haemophilus,"-14,-2",0.1197656604,0.7168384479,0.1562593207,1.1812322832,0.1502692753,0.986506866,0.14093093,1.4956417815,0.1000098836,0.5741476917,0.1400387484,1.0156951654,0.0926274125,0.0186747257,0.0997783578,0.5567566358,0.1511577428,1.0908247436,0.1488959953,0.9492864641
Haemophilus,"-16,0",0.131039835,0.6927062461,0.1560361137,1.358124601,0.1293991991,0.9689662595,0.1229599803,0.7732716685,0.1027639269,0.6293271409,0.1299186325,1.1034048722,0.124659192,0.019760654,0.1177585361,0.6085326584,0.1407402209,1.1130603842,0.1422204717,0.9360448018
