"date","Pertussis","Pathogenic_bacteria","Common_cold","Fever","Bordetella_pertussis","Airborne_disease","Pertussis_vaccine","Paroxysmal_attack","Syncope_(medicine)","Lymphocytosis"
"2013-05-11","357.0","427.0","2059.0","2959.0","261.0","223.0","60.0","217.0","1387.0","297.0"
"2013-05-12","560.0","502.0","2421.0","3198.0","372.0","335.0","67.0","219.0","1510.0","327.0"
"2013-05-13","827.0","970.0","3529.0","4130.0","492.0","402.0","89.0","311.0","2369.0","513.0"
"2013-05-14","896.0","764.0","3650.0","4336.0","506.0","341.0","87.0","336.0","2358.0","534.0"
"2013-05-15","2608.0","838.0","3453.0","4146.0","521.0","419.0","87.0","282.0","2253.0","503.0"
"2013-05-16","2390.0","768.0","3566.0","4136.0","520.0","377.0","92.0","329.0","2345.0","536.0"
"2013-05-17","2038.0","593.0","2805.0","3275.0","565.0","302.0","76.0","292.0","2006.0","435.0"
"2013-05-18","1410.0","422.0","2116.0","2825.0","310.0","215.0","55.0","241.0","1520.0","312.0"
"2013-05-19","1555.0","513.0","2255.0","3029.0","333.0","333.0","79.0","244.0","1524.0","299.0"
"2013-05-20","2479.0","777.0","3116.0","3791.0","463.0","376.0","98.0","247.0","2146.0","435.0"
"2013-05-21","2364.0","876.0","3312.0","4095.0","453.0","405.0","104.0","345.0","2324.0","477.0"
"2013-05-22","2436.0","862.0","3245.0","3835.0","456.0","371.0","101.0","331.0","2318.0","514.0"
"2013-05-23","2175.0","794.0","2906.0","3886.0","436.0","433.0","85.0","249.0","2244.0","411.0"
"2013-05-24","1947.0","645.0","2709.0","3364.0","327.0","314.0","90.0","178.0","1933.0","406.0"
"2013-05-25","1392.0","438.0","1978.0","2690.0","241.0","235.0","41.0","174.0","1285.0","258.0"
"2013-05-26","2025.0","467.0","2175.0","2818.0","268.0","264.0","53.0","199.0","1343.0","234.0"
"2013-05-27","2960.0","604.0","3443.0","3697.0","326.0","355.0","59.0","229.0","1586.0","362.0"
"2013-05-28","2482.0","700.0","3126.0","4039.0","376.0","406.0","93.0","257.0","2136.0","414.0"
"2013-05-29","2142.0","670.0","3193.0","3911.0","393.0","371.0","85.0","297.0","2242.0","399.0"
"2013-05-30","2071.0","704.0","2998.0","3807.0","392.0","377.0","79.0","263.0","2409.0","429.0"
"2013-05-31","1731.0","567.0","2588.0","3360.0","335.0","299.0","68.0","220.0","2014.0","385.0"
"2013-06-01","1313.0","420.0","2037.0","2780.0","224.0","244.0","55.0","187.0","1355.0","294.0"
"2013-06-02","1577.0","455.0","2131.0","3129.0","214.0","263.0","53.0","228.0","1931.0","265.0"
"2013-06-03","2366.0","616.0","3667.0","4242.0","386.0","395.0","80.0","251.0","2504.0","476.0"
"2013-06-04","2286.0","648.0","2870.0","3816.0","338.0","397.0","81.0","272.0","2328.0","522.0"
"2013-06-05","2117.0","740.0","2878.0","3858.0","447.0","395.0","109.0","259.0","2236.0","443.0"
"2013-06-06","2302.0","677.0","2783.0","3777.0","432.0","373.0","95.0","263.0","2154.0","491.0"
"2013-06-07","1946.0","511.0","2583.0","3236.0","344.0","270.0","98.0","237.0","2056.0","429.0"
"2013-06-08","2513.0","364.0","1984.0","2709.0","294.0","238.0","73.0","169.0","1754.0","287.0"
"2013-06-09","1616.0","469.0","2097.0","3125.0","258.0","273.0","51.0","185.0","1804.0","279.0"
"2013-06-10","2100.0","746.0","2728.0","3815.0","343.0","418.0","100.0","267.0","2605.0","520.0"
"2013-06-11","2048.0","694.0","2729.0","3754.0","287.0","449.0","101.0","251.0","2369.0","537.0"
"2013-06-12","2170.0","758.0","2890.0","3911.0","337.0","430.0","107.0","284.0","2385.0","611.0"
"2013-06-13","2124.0","675.0","2564.0","3584.0","302.0","323.0","95.0","243.0","2116.0","454.0"
"2013-06-14","2633.0","485.0","2245.0","3348.0","278.0","274.0","76.0","207.0","1954.0","425.0"
"2013-06-15","1714.0","387.0","1707.0","3109.0","218.0","257.0","56.0","165.0","1473.0","288.0"
"2013-06-16","1484.0","491.0","1987.0","3292.0","285.0","261.0","52.0","203.0","1579.0","276.0"
"2013-06-17","2022.0","728.0","2538.0","3799.0","301.0","401.0","94.0","245.0","2586.0","482.0"
"2013-06-18","2120.0","692.0","2643.0","3817.0","345.0","424.0","78.0","268.0","2276.0","547.0"
"2013-06-19","2102.0","654.0","2596.0","3868.0","476.0","367.0","85.0","226.0","2305.0","527.0"
"2013-06-20","2032.0","633.0","2452.0","3513.0","469.0","390.0","72.0","233.0","2210.0","479.0"
"2013-06-21","1588.0","503.0","2117.0","3142.0","254.0","338.0","81.0","147.0","1946.0","424.0"
"2013-06-22","1163.0","410.0","1757.0","2684.0","204.0","233.0","34.0","135.0","1441.0","365.0"
"2013-06-23","1173.0","476.0","1980.0","2857.0","237.0","284.0","43.0","180.0","1424.0","259.0"
"2013-06-24","1828.0","604.0","2617.0","3591.0","264.0","420.0","78.0","237.0","2144.0","483.0"
"2013-06-25","1841.0","732.0","2988.0","3871.0","315.0","350.0","80.0","242.0","2468.0","558.0"
"2013-06-26","1698.0","646.0","2556.0","3632.0","306.0","346.0","96.0","195.0","2329.0","510.0"
"2013-06-27","1695.0","641.0","2561.0","3763.0","296.0","362.0","84.0","225.0","2487.0","458.0"
"2013-06-28","1501.0","532.0","1963.0","3238.0","201.0","235.0","80.0","190.0","1930.0","353.0"
"2013-06-29","1118.0","436.0","1610.0","2584.0","199.0","243.0","38.0","156.0","1393.0","295.0"
"2013-06-30","1088.0","456.0","1739.0","2837.0","189.0","257.0","54.0","152.0","1408.0","293.0"
"2013-07-01","1532.0","520.0","2348.0","3770.0","268.0","289.0","86.0","194.0","2091.0","388.0"
"2013-07-02","1665.0","688.0","2486.0","3815.0","288.0","348.0","86.0","200.0","2197.0","422.0"
"2013-07-03","1609.0","557.0","2427.0","3790.0","272.0","291.0","70.0","180.0","2200.0","499.0"
"2013-07-04","1372.0","497.0","2102.0","3079.0","195.0","265.0","49.0","151.0","1634.0","363.0"
"2013-07-05","1214.0","399.0","1765.0","3019.0","220.0","234.0","73.0","132.0","1590.0","327.0"
"2013-07-06","997.0","381.0","1666.0","2593.0","172.0","232.0","53.0","123.0","1278.0","260.0"
"2013-07-07","1112.0","443.0","1807.0","2965.0","200.0","278.0","52.0","164.0","1396.0","252.0"
"2013-07-08","1512.0","577.0","2379.0","3671.0","285.0","327.0","66.0","209.0","2234.0","434.0"
"2013-07-09","1641.0","582.0","2482.0","3684.0","304.0","334.0","85.0","220.0","2234.0","488.0"
"2013-07-10","1692.0","550.0","2310.0","3620.0","267.0","364.0","96.0","162.0","2183.0","525.0"
"2013-07-11","1824.0","504.0","2217.0","3444.0","272.0","322.0","84.0","193.0","2037.0","422.0"
"2013-07-12","1572.0","448.0","2024.0","3097.0","206.0","255.0","190.0","155.0","1761.0","424.0"
"2013-07-13","1199.0","346.0","1496.0","2458.0","158.0","207.0","177.0","146.0","1308.0","285.0"
"2013-07-14","1247.0","369.0","1733.0","2785.0","177.0","253.0","173.0","136.0","1311.0","221.0"
