"date","Meningococcal_disease","Saliva","Neisseria_meningitidis","Meningitis","Meningococcal_vaccine","Common_cold","Gram-negative_bacteria","Disseminated_intravascular_coagulation","Sepsis","Rash"
"2015-03-05","643.0","652.0","517.0","3330.0","189.0","1636.0","1759.0","1092.0","2902.0","515.0"
"2015-03-06","449.0","602.0","444.0","2539.0","167.0","1510.0","1474.0","797.0","2688.0","461.0"
"2015-03-07","437.0","488.0","358.0","2072.0","101.0","1205.0","1008.0","753.0","2608.0","372.0"
"2015-03-08","369.0","591.0","365.0","2218.0","114.0","1150.0","1110.0","810.0","2662.0","390.0"
"2015-03-09","508.0","647.0","554.0","3182.0","178.0","1676.0","1657.0","1035.0","2877.0","515.0"
"2015-03-10","433.0","685.0","503.0","3226.0","174.0","1596.0","1602.0","1108.0","2844.0","477.0"
"2015-03-11","435.0","699.0","479.0","3012.0","195.0","1539.0","1694.0","1106.0","2714.0","523.0"
"2015-03-12","469.0","682.0","582.0","3071.0","180.0","1617.0","1651.0","1135.0","2736.0","538.0"
"2015-03-13","516.0","634.0","459.0","4279.0","185.0","1414.0","1431.0","918.0","2658.0","439.0"
"2015-03-14","305.0","501.0","296.0","2969.0","109.0","1034.0","943.0","803.0","1982.0","343.0"
"2015-03-15","299.0","540.0","365.0","2625.0","119.0","1108.0","1062.0","868.0","2077.0","362.0"
"2015-03-16","606.0","671.0","590.0","4637.0","232.0","1692.0","1627.0","1089.0","2682.0","584.0"
"2015-03-17","1022.0","738.0","693.0","3484.0","279.0","1653.0","1759.0","1132.0","2934.0","451.0"
"2015-03-18","1150.0","700.0","544.0","3160.0","213.0","1497.0","1772.0","1101.0","2763.0","436.0"
"2015-03-19","523.0","656.0","577.0","2919.0","172.0","1429.0","1601.0","1016.0","2802.0","478.0"
"2015-03-20","526.0","644.0","496.0","3215.0","161.0","1262.0","1376.0","898.0","2464.0","423.0"
"2015-03-21","410.0","484.0","406.0","2977.0","199.0","917.0","925.0","751.0","2092.0","370.0"
"2015-03-22","356.0","588.0","353.0","2226.0","119.0","1102.0","1071.0","884.0","2055.0","397.0"
"2015-03-23","443.0","659.0","532.0","3219.0","183.0","1472.0","1625.0","1049.0","2936.0","489.0"
"2015-03-24","493.0","707.0","544.0","3265.0","225.0","1564.0","1806.0","1160.0","2880.0","495.0"
"2015-03-25","513.0","727.0","560.0","3401.0","204.0","1754.0","1729.0","1116.0","2778.0","477.0"
"2015-03-26","470.0","666.0","533.0","2895.0","197.0","1521.0","1505.0","899.0","2553.0","469.0"
"2015-03-27","384.0","592.0","493.0","7249.0","164.0","1325.0","1299.0","926.0","2593.0","452.0"
"2015-03-28","285.0","467.0","299.0","5092.0","109.0","895.0","836.0","737.0","1626.0","381.0"
"2015-03-29","354.0","549.0","381.0","4566.0","267.0","1014.0","1064.0","791.0","2417.0","333.0"
"2015-03-30","481.0","706.0","595.0","5017.0","249.0","1317.0","1620.0","1071.0","3200.0","543.0"
"2015-03-31","508.0","713.0","617.0","4187.0","295.0","1526.0","1770.0","1038.0","2859.0","616.0"
"2015-04-01","402.0","629.0","553.0","3710.0","214.0","1344.0","1639.0","862.0","2513.0","467.0"
"2015-04-02","391.0","561.0","481.0","3451.0","213.0","1224.0","1499.0","921.0","2359.0","449.0"
"2015-04-03","298.0","532.0","384.0","2729.0","149.0","1031.0","1124.0","714.0","2171.0","407.0"
"2015-04-04","264.0","510.0","329.0","2394.0","114.0","911.0","880.0","685.0","1978.0","373.0"
"2015-04-05","256.0","442.0","315.0","2289.0","108.0","790.0","996.0","709.0","1713.0","362.0"
"2015-04-06","367.0","649.0","461.0","3344.0","202.0","1216.0","1490.0","959.0","2544.0","460.0"
"2015-04-07","445.0","657.0","589.0","3843.0","199.0","1311.0","1562.0","1062.0","2970.0","580.0"
"2015-04-08","434.0","658.0","624.0","3926.0","216.0","1382.0","1621.0","974.0","3016.0","531.0"
"2015-04-09","487.0","693.0","582.0","4698.0","196.0","1348.0","1612.0","988.0","3650.0","463.0"
"2015-04-10","827.0","653.0","2430.0","4600.0","298.0","1178.0","1474.0","941.0","3127.0","360.0"
"2015-04-11","755.0","473.0","755.0","2761.0","150.0","776.0","885.0","750.0","1995.0","290.0"
"2015-04-12","505.0","613.0","614.0","2823.0","132.0","963.0","1068.0","877.0","2068.0","399.0"
"2015-04-13","652.0","753.0","878.0","4424.0","243.0","1417.0","1725.0","1193.0","3048.0","467.0"
"2015-04-14","509.0","726.0","746.0","3853.0","217.0","1271.0","1732.0","1030.0","2727.0","457.0"
"2015-04-15","517.0","813.0","703.0","3821.0","222.0","1222.0","1774.0","1061.0","2750.0","531.0"
"2015-04-16","505.0","683.0","744.0","3514.0","219.0","1382.0","1700.0","1122.0","2653.0","470.0"
"2015-04-17","425.0","594.0","620.0","3529.0","181.0","1066.0","1402.0","1000.0","2393.0","445.0"
"2015-04-18","295.0","535.0","439.0","2075.0","173.0","792.0","958.0","792.0","1945.0","377.0"
"2015-04-19","325.0","546.0","473.0","2282.0","117.0","842.0","1067.0","883.0","1916.0","321.0"
"2015-04-20","545.0","783.0","796.0","3242.0","217.0","1387.0","1713.0","1341.0","2969.0","466.0"
"2015-04-21","540.0","753.0","726.0","4184.0","231.0","1366.0","1807.0","1242.0","3525.0","431.0"
"2015-04-22","500.0","722.0","706.0","3869.0","260.0","1270.0","1798.0","1264.0","3201.0","469.0"
"2015-04-23","478.0","757.0","732.0","3561.0","272.0","1284.0","1862.0","1258.0","2816.0","470.0"
"2015-04-24","401.0","625.0","684.0","3209.0","225.0","1069.0","1474.0","1217.0","2704.0","480.0"
"2015-04-25","296.0","519.0","481.0","2033.0","156.0","867.0","1042.0","873.0","1702.0","316.0"
"2015-04-26","344.0","560.0","461.0","2143.0","110.0","854.0","1198.0","940.0","1912.0","375.0"
"2015-04-27","440.0","652.0","676.0","2906.0","229.0","1227.0","1738.0","1154.0","2851.0","443.0"
"2015-04-28","469.0","706.0","655.0","3184.0","241.0","1214.0","1812.0","1129.0","2698.0","439.0"
"2015-04-29","452.0","728.0","722.0","3173.0","234.0","1246.0","1736.0","1091.0","2765.0","449.0"
"2015-04-30","474.0","705.0","584.0","2762.0","221.0","1136.0","1562.0","1043.0","2591.0","429.0"
"2015-05-01","391.0","626.0","540.0","2541.0","162.0","928.0","1204.0","1038.0","2191.0","365.0"
"2015-05-02","312.0","700.0","410.0","1821.0","144.0","835.0","885.0","759.0","1584.0","310.0"
"2015-05-03","283.0","608.0","451.0","1927.0","116.0","809.0","1081.0","812.0","1670.0","384.0"
"2015-05-04","473.0","762.0","615.0","2785.0","199.0","1198.0","1625.0","1082.0","3705.0","521.0"
"2015-05-05","495.0","714.0","655.0","2843.0","237.0","1227.0","1783.0","1068.0","3033.0","435.0"
"2015-05-06","496.0","792.0","744.0","3450.0","258.0","1262.0","1663.0","1151.0","2822.0","483.0"
"2015-05-07","435.0","787.0","714.0","2748.0","212.0","1162.0","1675.0","1049.0","2488.0","449.0"
"2015-05-08","393.0","638.0","494.0","2413.0","179.0","982.0","1295.0","882.0","2434.0","395.0"
"2015-05-09","314.0","486.0","378.0","1664.0","118.0","691.0","840.0","688.0","1625.0","374.0"
"2015-05-10","288.0","636.0","403.0","1815.0","96.0","831.0","1092.0","822.0","1882.0","380.0"
"2015-05-11","412.0","803.0","659.0","2813.0","214.0","1228.0","1517.0","1126.0","3047.0","495.0"
"2015-05-12","486.0","852.0","659.0","3092.0","295.0","1262.0","1532.0","1019.0","2755.0","445.0"
"2015-05-13","463.0","690.0","547.0","2692.0","212.0","1150.0","1427.0","1047.0","2437.0","421.0"
"2015-05-14","451.0","711.0","489.0","2560.0","206.0","1149.0","1430.0","990.0","3175.0","397.0"
"2015-05-15","575.0","599.0","444.0","2371.0","226.0","1002.0","1211.0","882.0","2507.0","428.0"
"2015-05-16","494.0","498.0","341.0","1680.0","132.0","671.0","817.0","712.0","1793.0","342.0"
"2015-05-17","613.0","561.0","404.0","2018.0","145.0","728.0","979.0","752.0","2124.0","306.0"
"2015-05-18","1004.0","658.0","566.0","2632.0","250.0","1116.0","1448.0","1222.0","3078.0","707.0"
"2015-05-19","557.0","679.0","471.0","2774.0","239.0","1171.0","1374.0","1025.0","2739.0","438.0"
"2015-05-20","861.0","687.0","511.0","2555.0","234.0","1084.0","1350.0","905.0","2788.0","450.0"
"2015-05-21","541.0","585.0","516.0","2683.0","180.0","1089.0","1370.0","913.0","2322.0","415.0"
"2015-05-22","449.0","569.0","413.0","2404.0","147.0","884.0","1098.0","857.0","2047.0","370.0"
"2015-05-23","303.0","455.0","385.0","1799.0","133.0","692.0","765.0","651.0","1546.0","306.0"
"2015-05-24","313.0","449.0","457.0","1777.0","122.0","1049.0","889.0","685.0","1534.0","323.0"
