"date","Lyme_disease","Borrelia","Erythema_chronicum_migrans","Fever","Ixodes","Lyme_disease_controversy","Headache","Delayed_onset_muscle_soreness","Ixodes_ricinus","Vaccine"
"2014-09-16","5039.0","214.0","267.0","2548.0","49.0","136.0","1472.0","1047.0","95.0","1351.0"
"2014-09-17","5255.0","232.0","345.0","2589.0","59.0","175.0","1549.0","1134.0","69.0","1442.0"
"2014-09-18","4788.0","245.0","285.0","2594.0","69.0","145.0","1481.0","1012.0","73.0","1480.0"
"2014-09-19","4309.0","203.0","272.0","2197.0","58.0","122.0","1327.0","916.0","49.0","1290.0"
"2014-09-20","3119.0","181.0","232.0","1749.0","33.0","119.0","903.0","656.0","55.0","895.0"
"2014-09-21","3256.0","151.0","202.0","1924.0","33.0","120.0","781.0","710.0","71.0","1048.0"
"2014-09-22","5043.0","229.0","273.0","2551.0","78.0","158.0","1177.0","1074.0","84.0","1292.0"
"2014-09-23","5605.0","251.0","243.0","2670.0","77.0","202.0","1063.0","997.0","79.0","1477.0"
"2014-09-24","6275.0","257.0","225.0","2407.0","63.0","176.0","1140.0","1147.0","61.0","1369.0"
"2014-09-25","5528.0","266.0","246.0","2450.0","84.0","133.0","1020.0","1153.0","71.0","1519.0"
"2014-09-26","4514.0","196.0","180.0","2023.0","53.0","144.0","907.0","846.0","67.0","1117.0"
"2014-09-27","3176.0","126.0","149.0","1588.0","34.0","132.0","755.0","614.0","84.0","803.0"
"2014-09-28","3376.0","142.0","150.0","1852.0","44.0","115.0","809.0","801.0","60.0","1002.0"
"2014-09-29","5904.0","238.0","280.0","2482.0","66.0","180.0","1068.0","1155.0","78.0","1377.0"
"2014-09-30","5420.0","239.0","245.0","2507.0","63.0","160.0","1084.0","1008.0","63.0","1407.0"
"2014-10-01","5097.0","258.0","268.0","2469.0","44.0","159.0","1192.0","1197.0","72.0","1847.0"
"2014-10-02","4762.0","224.0","228.0","2444.0","56.0","147.0","1086.0","1169.0","84.0","1441.0"
"2014-10-03","5432.0","222.0","221.0","2233.0","40.0","181.0","881.0","1034.0","62.0","1389.0"
"2014-10-04","3495.0","152.0","152.0","1758.0","39.0","157.0","788.0","614.0","44.0","975.0"
"2014-10-05","3385.0","179.0","173.0","1852.0","37.0","148.0","797.0","666.0","62.0","1120.0"
"2014-10-06","4839.0","232.0","219.0","2640.0","50.0","197.0","1088.0","1018.0","62.0","1663.0"
"2014-10-07","4706.0","274.0","249.0","2764.0","41.0","144.0","1192.0","1076.0","63.0","1708.0"
"2014-10-08","5013.0","281.0","281.0","2710.0","92.0","157.0","17452.0","1294.0","63.0","2058.0"
"2014-10-09","4753.0","272.0","305.0","2715.0","53.0","153.0","1148.0","1131.0","79.0","1907.0"
"2014-10-10","4288.0","183.0","203.0","2444.0","48.0","172.0","995.0","964.0","66.0","1750.0"
"2014-10-11","2971.0","136.0","157.0","2150.0","28.0","96.0","768.0","671.0","43.0","1122.0"
"2014-10-12","3251.0","147.0","167.0","2429.0","52.0","96.0","894.0","667.0","65.0","1335.0"
"2014-10-13","4236.0","196.0","207.0","2794.0","62.0","131.0","1421.0","1106.0","78.0","1883.0"
"2014-10-14","4795.0","256.0","206.0","2918.0","82.0","176.0","1425.0","1200.0","92.0","2092.0"
"2014-10-15","4619.0","225.0","207.0","3379.0","55.0","141.0","1595.0","1156.0","78.0","2271.0"
"2014-10-16","3807.0","201.0","240.0","3474.0","46.0","135.0","1098.0","976.0","53.0","2405.0"
"2014-10-17","3392.0","185.0","164.0","2265.0","58.0","159.0","815.0","733.0","55.0","1841.0"
"2014-10-18","2654.0","153.0","134.0","1764.0","33.0","135.0","633.0","627.0","53.0","1273.0"
"2014-10-19","3025.0","171.0","151.0","1708.0","47.0","162.0","615.0","504.0","60.0","1175.0"
"2014-10-20","4528.0","227.0","239.0","2609.0","61.0","159.0","1163.0","985.0","87.0","1707.0"
"2014-10-21","4756.0","267.0","215.0","2338.0","66.0","171.0","1147.0","878.0","71.0","1779.0"
"2014-10-22","4765.0","235.0","197.0","2097.0","48.0","136.0","973.0","903.0","59.0","1546.0"
"2014-10-23","3789.0","199.0","185.0","2032.0","44.0","142.0","856.0","1006.0","50.0","1467.0"
"2014-10-24","3813.0","242.0","173.0","2053.0","51.0","130.0","953.0","791.0","63.0","1612.0"
"2014-10-25","2448.0","122.0","122.0","1466.0","33.0","78.0","716.0","519.0","33.0","995.0"
"2014-10-26","2526.0","137.0","125.0","1715.0","30.0","107.0","726.0","529.0","56.0","1015.0"
"2014-10-27","3708.0","210.0","192.0","2437.0","49.0","102.0","1064.0","872.0","76.0","1550.0"
"2014-10-28","3615.0","223.0","218.0","2484.0","49.0","93.0","1167.0","821.0","58.0","3450.0"
"2014-10-29","3719.0","209.0","193.0","2395.0","52.0","105.0","955.0","901.0","65.0","1892.0"
"2014-10-30","3483.0","215.0","194.0","2144.0","43.0","100.0","836.0","791.0","81.0","1391.0"
"2014-10-31","3003.0","148.0","155.0","1734.0","65.0","100.0","811.0","646.0","80.0","1102.0"
"2014-11-01","2124.0","127.0","115.0","1454.0","33.0","67.0","661.0","487.0","39.0","830.0"
"2014-11-02","2736.0","116.0","154.0","1589.0","67.0","88.0","719.0","530.0","58.0","905.0"
"2014-11-03","3669.0","242.0","200.0","2221.0","65.0","87.0","1011.0","807.0","69.0","1776.0"
"2014-11-04","3610.0","217.0","230.0","2293.0","75.0","116.0","970.0","900.0","89.0","1552.0"
"2014-11-05","3592.0","266.0","184.0","2251.0","63.0","105.0","1060.0","935.0","63.0","1387.0"
"2014-11-06","3892.0","220.0","175.0","2107.0","55.0","92.0","896.0","912.0","60.0","1468.0"
"2014-11-07","3260.0","195.0","167.0","1810.0","65.0","82.0","859.0","741.0","81.0","1103.0"
"2014-11-08","2131.0","135.0","129.0","1393.0","45.0","78.0","650.0","482.0","45.0","779.0"
"2014-11-09","2356.0","149.0","149.0","1716.0","42.0","75.0","701.0","526.0","59.0","1312.0"
"2014-11-10","3658.0","227.0","200.0","2190.0","85.0","111.0","992.0","909.0","99.0","1421.0"
"2014-11-11","3536.0","249.0","332.0","2359.0","61.0","103.0","1061.0","873.0","81.0","1566.0"
"2014-11-12","3361.0","215.0","187.0","2144.0","58.0","108.0","1001.0","1068.0","74.0","1394.0"
"2014-11-13","3232.0","204.0","189.0","2088.0","50.0","153.0","991.0","997.0","71.0","1297.0"
