en-Common_cold,en-Human_flu,en-Influenza,en-Influenza-like_illness,en-Influenza_A_virus,en-Influenza_A_virus_subtype_H1N1,en-Influenzavirus_A,en-Influenzavirus_C,en-Oseltamivir,en-Zanamivir
3983,116,7439,198,1356,1881,379,85,969,212
3869,107,7337,220,1371,1942,347,98,955,204
3303,98,5952,221,1213,1664,306,72,834,221
2543,54,3940,156,791,1082,179,67,592,124
2898,62,5529,154,685,1121,193,68,565,142
3840,96,6597,213,1115,1539,297,80,775,159
3894,112,7341,257,1215,1693,333,116,714,156
3866,115,7108,223,1139,1694,322,87,766,161
3642,86,7061,226,1074,1614,318,83,733,175
3107,67,5543,234,875,1403,251,79,692,156
2215,57,3608,158,551,888,150,52,486,105
2600,58,4216,173,523,973,157,53,474,114
3321,86,6081,199,915,1451,242,83,609,162
3353,84,6110,179,897,1368,225,72,683,159
3344,88,5713,161,924,1360,225,66,758,185
3145,76,5494,165,838,1273,227,65,607,179
2636,75,4268,146,729,1337,186,49,583,150
2147,50,2959,135,465,1055,131,46,412,90
2431,51,3481,130,478,914,140,66,378,122
3240,61,4943,207,754,1539,188,75,553,159
3299,71,5429,249,748,1736,186,69,582,175
3115,58,5339,176,760,1642,193,72,564,158
3252,64,5405,155,673,2515,222,75,506,160
2875,59,4176,140,576,1453,170,69,491,127
2181,31,2862,90,377,864,108,51,353,90
2486,47,3436,112,423,881,103,40,396,110
3365,72,6469,191,622,1328,188,61,517,161
3405,75,5835,172,665,1463,180,73,491,171
3246,72,5579,156,653,1236,181,71,555,179
3022,60,5138,152,551,1290,178,58,502,155
2648,55,4464,186,488,1168,154,53,417,190
1956,36,3078,113,298,761,91,49,300,115
2247,26,3659,205,330,804,88,33,334,96
3046,65,5303,184,562,1349,188,64,491,161
3164,62,5341,218,530,1348,140,60,513,180
3034,59,4814,186,509,1204,163,52,510,157
3047,49,4647,140,569,1156,143,49,478,168
2490,29,3762,113,422,1070,124,40,449,176
2060,40,2752,98,281,694,77,42,331,146
2178,46,3169,91,279,803,127,52,344,141
2884,57,4540,152,460,1187,127,64,456,181
2947,49,4669,178,484,937,151,53,418,183
3058,48,4692,139,484,1010,140,50,439,172
3031,71,4141,142,460,931,129,49,465,191
2631,42,3798,114,357,750,103,42,360,126
1882,26,2583,74,229,516,91,39,312,106
2072,49,2795,122,230,577,97,37,308,81
2880,43,4065,122,363,790,128,54,435,144
2892,47,4046,141,352,807,136,50,411,135
2677,38,3536,129,330,736,142,47,408,127
2487,37,3136,106,306,738,87,24,385,106
1916,31,2389,74,231,584,85,33,294,111
1766,24,2319,108,209,532,90,34,267,108
1860,32,2392,90,200,512,64,29,264,96
2639,36,3457,115,284,804,102,47,373,138
2696,53,4056,144,349,777,133,61,425,186
2759,39,4107,135,350,865,159,54,411,141
2716,48,3872,114,377,829,139,66,408,133
1980,46,3197,97,280,617,103,52,341,121
1732,36,2327,72,175,404,77,25,225,66
1936,38,2668,61,205,442,73,32,257,84
2594,54,4184,108,298,812,113,49,389,152
2833,35,4289,115,346,801,117,62,426,173
2780,41,4256,141,315,752,110,63,376,146
2599,53,4024,128,317,795,160,76,397,137
2316,36,3311,116,263,652,111,46,334,165
1676,32,2430,66,165,448,77,20,250,100
1884,44,2770,94,188,489,60,41,311,130
2856,61,4410,127,323,751,132,58,393,118
2995,72,4160,114,339,846,119,50,421,151
2755,51,4265,134,340,838,126,46,374,165
2528,39,3736,124,277,694,103,44,346,134
2143,31,3188,90,264,644,91,47,317,125
1725,29,2209,74,171,377,53,24,223,92
2192,37,2853,83,204,483,101,41,236,107
2751,56,4089,101,289,681,110,42,370,160
2886,65,4200,108,264,772,99,45,390,158
2728,40,3917,146,322,739,133,54,440,163
2520,47,4169,133,326,1694,162,69,378,139
2292,23,3077,99,221,694,77,32,362,139
1843,37,2251,80,130,465,51,33,210,86
1886,32,2820,64,202,599,70,40,252,89
2945,40,3889,91,277,778,106,42,301,148
3062,36,3782,133,274,852,103,42,629,163
2738,57,3904,128,284,821,90,48,311,141
2574,36,3863,82,282,824,82,42,386,133
2279,41,3099,81,241,755,80,43,285,103
1716,23,2158,85,149,501,64,32,226,82
1840,43,2354,68,165,513,63,26,264,90
2379,39,3452,90,243,711,98,38,290,108
2512,34,3758,107,275,867,86,41,340,120
2764,46,3764,113,257,795,113,39,337,136
