"Week","influenza","haemophilus","hepatitis"
"2011-06-05 - 2011-06-11","0.0319148936170213","0.657894736842105","0.188405797101449"
"2011-06-12 - 2011-06-18","0.0212765957446809","0.526315789473684","0.159420289855073"
"2011-06-19 - 2011-06-25","0.0106382978723405","0.513157894736842","0.173913043478261"
"2011-06-26 - 2011-07-02","0.0212765957446809","0.473684210526316","0.159420289855073"
"2011-07-03 - 2011-07-09","0.0106382978723405","0.565789473684211","0.115942028985507"
"2011-07-10 - 2011-07-16","0.0106382978723405","0.592105263157895","0.173913043478261"
"2011-07-17 - 2011-07-23","0.0212765957446809","0.421052631578947","0.173913043478261"
"2011-07-24 - 2011-07-30","0.0106382978723405","0.552631578947368","0.231884057971015"
"2011-07-31 - 2011-08-06","0.0106382978723405","0.460526315789474","0.159420289855073"
"2011-08-07 - 2011-08-13","0.0212765957446809","0.539473684210526","0.202898550724638"
"2011-08-14 - 2011-08-20","0.0212765957446809","0.381578947368421","0.159420289855073"
"2011-08-21 - 2011-08-27","0.0319148936170213","0.460526315789474","0.130434782608696"
"2011-08-28 - 2011-09-03","0.0638297872340425","0.5","0.144927536231884"
"2011-09-04 - 2011-09-10","0.074468085106383","0.460526315789474","0.101449275362319"
"2011-09-11 - 2011-09-17","0.117021276595745","0.631578947368421","0.188405797101449"
"2011-09-18 - 2011-09-24","0.127659574468085","0.684210526315789","0.246376811594203"
"2011-09-25 - 2011-10-01","0.127659574468085","0.565789473684211","0.202898550724638"
"2011-10-02 - 2011-10-08","0.138297872340426","0.657894736842105","0.188405797101449"
"2011-10-09 - 2011-10-15","0.138297872340426","0.644736842105263","0.202898550724638"
"2011-10-16 - 2011-10-22","0.127659574468085","0.789473684210526","0.217391304347826"
"2011-10-23 - 2011-10-29","0.138297872340426","0.723684210526316","0.231884057971015"
"2011-10-30 - 2011-11-05","0.138297872340426","0.789473684210526","0.246376811594203"
"2011-11-06 - 2011-11-12","0.127659574468085","0.828947368421053","0.231884057971015"
"2011-11-13 - 2011-11-19","0.127659574468085","0.684210526315789","0.217391304347826"
"2011-11-20 - 2011-11-26","0.0851063829787234","0.5","0.0869565217391304"
"2011-11-27 - 2011-12-03","0.127659574468085","0.881578947368421","0.188405797101449"
"2011-12-04 - 2011-12-10","0.117021276595745","0.828947368421053","0.159420289855073"
"2011-12-11 - 2011-12-17","0.0851063829787234","0.776315789473684","0.130434782608696"
"2011-12-18 - 2011-12-24","0.0638297872340425","0.434210526315789","0.072463768115942"
"2011-12-25 - 2011-12-31","0.0425531914893618","0.302631578947368","0.0434782608695652"
"2012-01-01 - 2012-01-07","0.0638297872340425","0.460526315789474","0.101449275362319"
"2012-01-08 - 2012-01-14","0.0851063829787234","0.539473684210526","0.188405797101449"
"2012-01-15 - 2012-01-21","0.0851063829787234","0.605263157894737","0.202898550724638"
"2012-01-22 - 2012-01-28","0.106382978723404","0.631578947368421","0.202898550724638"
"2012-01-29 - 2012-02-04","0.138297872340426","0.868421052631579","0.188405797101449"
"2012-02-05 - 2012-02-11","0.127659574468085","0.789473684210526","0.217391304347826"
"2012-02-12 - 2012-02-18","0.191489361702128","0.723684210526316","0.173913043478261"
"2012-02-19 - 2012-02-25","0.191489361702128","0.75","0.36231884057971"
"2012-02-26 - 2012-03-03","0.202127659574468","0.697368421052632","0.231884057971015"
"2012-03-04 - 2012-03-10","0.223404255319149","0.763157894736842","0.231884057971015"
"2012-03-11 - 2012-03-17","0.212765957446808","0.763157894736842","0.202898550724638"
"2012-03-18 - 2012-03-24","0.191489361702128","0.684210526315789","0.188405797101449"
"2012-03-25 - 2012-03-31","0.159574468085106","0.657894736842105","0.246376811594203"
"2012-04-01 - 2012-04-07","0.117021276595745","0.565789473684211","0.188405797101449"
"2012-04-08 - 2012-04-14","0.127659574468085","0.657894736842105","0.217391304347826"
"2012-04-15 - 2012-04-21","0.117021276595745","0.986842105263158","0.231884057971015"
"2012-04-22 - 2012-04-28","0.106382978723404","0.842105263157895","0.217391304347826"
"2012-04-29 - 2012-05-05","0.106382978723404","0.802631578947368","0.217391304347826"
"2012-05-06 - 2012-05-12","0.0957446808510638","0.513157894736842","0.217391304347826"
"2012-05-13 - 2012-05-19","0.074468085106383","0.539473684210526","0.318840579710145"
"2012-05-20 - 2012-05-26","0.0531914893617021","0.407894736842105","0.27536231884058"
"2012-05-27 - 2012-06-02","0.0425531914893618","0.368421052631579","0.202898550724638"
"2012-06-03 - 2012-06-09","0.0319148936170213","0.5","0.188405797101449"
"2012-06-10 - 2012-06-16","0.0319148936170213","0.552631578947368","0.202898550724638"
"2012-06-17 - 2012-06-23","0.0319148936170213","0.342105263157895","0.231884057971015"
