"Week","hepatitis c","hepatitis c symptoms","hepatitis","symptoms of hepatitis c","influenza"
"2011-08-14 - 2011-08-20","0.138888888888889","0.135802469135803","0.159420289855073","0.31","0.0212765957446809"
"2011-08-21 - 2011-08-27","0.138888888888889","0.0740740740740742","0.144927536231884","0.29","0.0319148936170213"
"2011-08-28 - 2011-09-03","0.138888888888889","0.17283950617284","0.144927536231884","0.42","0.0638297872340425"
"2011-09-04 - 2011-09-10","0.111111111111111","0.0987654320987654","0.101449275362319","0.41","0.074468085106383"
"2011-09-11 - 2011-09-17","0.180555555555556","0.197530864197531","0.202898550724638","0.29","0.117021276595745"
"2011-09-18 - 2011-09-24","0.222222222222222","0.135802469135803","0.246376811594203","0.26","0.127659574468085"
"2011-09-25 - 2011-10-01","0.180555555555556","0.209876543209877","0.217391304347826","0.34","0.127659574468085"
"2011-10-02 - 2011-10-08","0.166666666666667","0.259259259259259","0.188405797101449","0.35","0.138297872340426"
"2011-10-09 - 2011-10-15","0.222222222222222","0.17283950617284","0.202898550724638","0.26","0.138297872340426"
"2011-10-16 - 2011-10-22","0.222222222222222","0.123456790123457","0.202898550724638","0.26","0.127659574468085"
"2011-10-23 - 2011-10-29","0.222222222222222","0.111111111111111","0.217391304347826","0.31","0.138297872340426"
"2011-10-30 - 2011-11-05","0.291666666666667","0.148148148148148","0.246376811594203","0.37","0.138297872340426"
"2011-11-06 - 2011-11-12","0.236111111111111","0.123456790123457","0.231884057971015","0.3","0.127659574468085"
"2011-11-13 - 2011-11-19","0.222222222222222","0.160493827160494","0.217391304347826","0.4","0.127659574468085"
"2011-11-20 - 2011-11-26","0.125","0.0987654320987654","0.0869565217391304","0.23","0.0851063829787234"
"2011-11-27 - 2011-12-03","0.222222222222222","0.17283950617284","0.188405797101449","0.28","0.127659574468085"
"2011-12-04 - 2011-12-10","0.166666666666667","0.135802469135803","0.144927536231884","0.28","0.117021276595745"
"2011-12-11 - 2011-12-17","0.125","0.135802469135803","0.130434782608696","0.32","0.0851063829787234"
"2011-12-18 - 2011-12-24","0.111111111111111","0.0987654320987654","0.072463768115942","0.22","0.0638297872340425"
"2011-12-25 - 2011-12-31","0.111111111111111","0.0987654320987654","0.0289855072463768","0.3","0.0425531914893618"
"2012-01-01 - 2012-01-07","0.152777777777778","0.135802469135803","0.115942028985507","0.28","0.0638297872340425"
"2012-01-08 - 2012-01-14","0.208333333333333","0.197530864197531","0.173913043478261","0.23","0.0851063829787234"
"2012-01-15 - 2012-01-21","0.222222222222222","0.160493827160494","0.188405797101449","0.38","0.0851063829787234"
"2012-01-22 - 2012-01-28","0.208333333333333","0.123456790123457","0.188405797101449","0.31","0.106382978723404"
"2012-01-29 - 2012-02-04","0.222222222222222","0.160493827160494","0.202898550724638","0.31","0.138297872340426"
